,article_id,comments,published,title,type,url
3867,739749.0,0.0,2017-01-12,Tränen und Taucher,blog,http://www.tageswoche.ch/de/blogs/360grad/739749/traenen-und-taucher.htm
3868,739750.0,0.0,2017-01-12,Junge sehen weiter weniger fern,newswire,http://www.tageswoche.ch/de/2017_2/schweiz/739750/junge-sehen-weiter-weniger-fern.htm
3869,739751.0,0.0,2017-01-13,"Der Vogel Gryff hat eine neue Lampe, aber der Leu ist Chef",news,http://www.tageswoche.ch/de/2017_2/basel/739751/der-vogel-gryff-hat-eine-neue-lampe-aber-der-leu-ist-chef.htm
3870,739752.0,0.0,2017-01-12,Früherer englischer Nationaltrainer ist tot,newswire,http://www.tageswoche.ch/de/2017_2/sport/739752/frueherer-englischer-nationaltrainer-ist-tot.htm
3871,739754.0,0.0,2017-01-12,Die Schweiz ist laut Parmelin auf einen Blackout vorbereitet,newswire,http://www.tageswoche.ch/de/2017_2/schweiz/739754/die-schweiz-ist-laut-parmelin-auf-einen-blackout-vorbereitet.htm
3872,739755.0,0.0,2017-01-12,Fünf Verletzte bei Auffahrkollision auf A22 bei Pratteln BL,newswire,http://www.tageswoche.ch/de/2017_2/basel/739755/fuenf-verletzte-bei-auffahrkollision-auf-a22-bei-pratteln-bl.htm
3873,739756.0,0.0,2017-01-12,Meteorologen befürchten Absage der Lauberhorn-Abfahrt,newswire,http://www.tageswoche.ch/de/2017_2/schweiz/739756/meteorologen-befuerchten-absage-der-lauberhorn-abfahrt.htm
3874,739757.0,0.0,2017-01-12,Amazon will binnen 18 Monaten 100'000 Jobs in den USA schaffen,newswire,http://www.tageswoche.ch/de/2017_2/international/739757/amazon-will-binnen-18-monaten-100-000-jobs-in-den-usa-schaffen.htm
3875,739758.0,0.0,2017-01-12,Erleichterte Einbürgerung als Geste an die Jungen,newswire,http://www.tageswoche.ch/de/2017_2/schweiz/739758/erleichterte-einbuergerung-als-geste-an-die-jungen.htm
3876,739759.0,0.0,2017-01-12,Neuenburger Forscher wollen bebilderte Solarmodule entwickeln,newswire,http://www.tageswoche.ch/de/2017_2/schweiz/739759/neuenburger-forscher-wollen-bebilderte-solarmodule-entwickeln.htm
3877,739761.0,0.0,2017-01-12,Gangster lassen in Deutschland Güterzug mit SBB-Lok entgleisen,newswire,http://www.tageswoche.ch/de/2017_2/international/739761/gangster-lassen-in-deutschland-gueterzug-mit-sbb-lok-entgleisen.htm
