,article_id,published,title,type,url
0,158288.0,2011-12-22,"Koschere Pizzen, Gebets­fabriken und anständige Thriller",news,http://www.tageswoche.ch/de/2011_51/international/158288/koschere-pizzen-gebets-fabriken-und-anstaendige-thriller.htm
0,158882.0,2011-12-22,Fall Yberg: Heimleiter schwindelt mit einem Doktortitel,news,http://www.tageswoche.ch/de/2011_51/basel/158882/fall-yberg-heimleiter-schwindelt-mit-einem-doktortitel.htm
0,158883.0,2011-12-22,Kommentar: Behörden kontrollieren Heimleiter zu lasch,news,http://www.tageswoche.ch/de/2011_51/basel/158883/kommentar-behoerden-kontrollieren-heimleiter-zu-lasch.htm
0,163740.0,2011-12-22,Im Nationalrat verlor sie die Lust an der Politik,news,http://www.tageswoche.ch/de/2011_51/basel/163740/im-nationalrat-verlor-sie-die-lust-an-der-politik.htm
0,164851.0,2011-12-22,Der Protest gegen die BaZ dürfte stärker sein,news,http://www.tageswoche.ch/de/2011_51/dialog/164851/der-protest-gegen-die-baz-duerfte-staerker-sein.htm
0,169470.0,2011-12-22,Kaminfeger an Silvester,news,http://www.tageswoche.ch/de/2011_51/sport/169470/kaminfeger-an-silvester.htm
0,170724.0,2011-12-21,Liechtensteiner Prinzessin bringt siebtes Kind zur Welt,newswire,http://www.tageswoche.ch/de/2011_50/schweiz/170724/liechtensteiner-prinzessin-bringt-siebtes-kind-zur-welt.htm
0,170830.0,2011-12-22,Kulturkampf ums Münster,news,http://www.tageswoche.ch/de/2011_51/basel/170830/kulturkampf-ums-muenster.htm
0,176672.0,2011-12-22,"«Wer dem RTV unter die Arme greifen will, darf sich bei mir melden»",news,http://www.tageswoche.ch/de/2011_50/sport/176672/wer-dem-rtv-unter-die-arme-greifen-will-darf-sich-bei-mir-melden.htm
0,205000.0,2011-12-30,Ist Astrologie Unsinn?,deb_moderator,http://www.tageswoche.ch/de/2011_52/debatte/205000/ist-astrologie-unsinn.htm
0,211128.0,2011-12-29,Gefordert: Beat Rechsteiner,news,http://www.tageswoche.ch/de/2011_52/basel/211128/gefordert-beat-rechsteiner.htm
0,212840.0,2011-12-29,Der Festival-Flop zu St. Jakob,news,http://www.tageswoche.ch/de/2011_52/kultur/212840/der-festival-flop-zu-st-jakob.htm
0,212842.0,2011-12-29,Aufstieg und Fall,news,http://www.tageswoche.ch/de/2011_52/schweiz/212842/aufstieg-und-fall.htm
0,212946.0,2011-12-29,Das tragische Ende einer illegalen Party,news,http://www.tageswoche.ch/de/2011_52/basel/212946/das-tragische-ende-einer-illegalen-party.htm
0,213594.0,2011-12-29,Gefangen auf der Insel,news,http://www.tageswoche.ch/de/2011_52/international/213594/gefangen-auf-der-insel.htm
0,222873.0,2011-12-30,Feuerwerk: Frauen wollen es grün – Männer lieben es laut,news,http://www.tageswoche.ch/de/2011_52/basel/222873/feuerwerk-frauen-wollen-es-gruen-maenner-lieben-es-laut.htm
0,225082.0,2011-12-30,Schlüssel weg: Kein Silvester mit Losi im «Lämmli» in Metzerlen,news,http://www.tageswoche.ch/de/2011_52/basel/225082/schluessel-weg-kein-silvester-mit-losi-im-laemmli-in-metzerlen.htm
0,235060.0,2012-01-01,Toni Innauer: «Spitzensport ist gnadenlos»,news,http://www.tageswoche.ch/de/2011_52/sport/235060/toni-innauer-spitzensport-ist-gnadenlos.htm
0,239308.0,2012-01-02,Bärzeli - der halbe Feiertag,news,http://www.tageswoche.ch/de/2011_52/basel/239308/baerzeli-der-halbe-feiertag.htm
0,244514.0,2012-01-06,Schere zwischen Hausarzt und Spezialist wird grösser,news,http://www.tageswoche.ch/de/2012_01/basel/244514/schere-zwischen-hausarzt-und-spezialist-wird-groesser.htm
0,245237.0,2012-01-03,Den Wolf zieht es ins Baselbiet,news,http://www.tageswoche.ch/de/2011_52/basel/245237/den-wolf-zieht-es-ins-baselbiet.htm
0,249240.0,2012-01-06,"«Ein Kind, das an Hunger stirbt, wird ermordet»",news,http://www.tageswoche.ch/de/2012_01/international/249240/ein-kind-das-an-hunger-stirbt-wird-ermordet.htm
0,250687.0,2012-01-06,«Er war der grösste Schweizer Realist des 20. Jahrhunderts»,news,http://www.tageswoche.ch/de/2012_01/kultur/250687/er-war-der-groesste-schweizer-realist-des-20-jahrhunderts.htm
0,253661.0,2012-01-06,Dreikönigstag ist mehr als Kuchenessen,news,http://www.tageswoche.ch/de/2011_52/basel/253661/dreikoenigstag-ist-mehr-als-kuchenessen.htm
0,265744.0,2012-01-08,"Hildebrand sagte die Wahrheit, Informant wollte gar nicht an die Medien",news,http://www.tageswoche.ch/de/2012_01/schweiz/265744/hildebrand-sagte-die-wahrheit-informant-wollte-gar-nicht-an-die-medien.htm
0,268800.0,2012-01-09,Granit Xhaka: «Die Frage ist: Wann gehe ich?»,news,http://www.tageswoche.ch/de/2012_01/sport/268800/granit-xhaka-die-frage-ist-wann-gehe-ich.htm
0,271950.0,2012-01-13,Die Kokain-Metropole wird gezähmt,news,http://www.tageswoche.ch/de/2012_02/international/271950/die-kokain-metropole-wird-gezaehmt.htm
0,276601.0,2012-01-13,Als Spender-Baby geboren,news,http://www.tageswoche.ch/de/2012_02/schweiz/276601/als-spender-baby-geboren.htm
0,276602.0,2012-01-13,«Wir brauchen Haltung» ,news,http://www.tageswoche.ch/de/2012_02/schweiz/276602/wir-brauchen-haltung.htm
0,276887.0,2012-01-13,Biancas Heimkehr – ein Märchen 2.0 ,news,http://www.tageswoche.ch/de/2012_02/kultur/276887/biancas-heimkehr-ein-maerchen-20.htm
0,277830.0,2012-01-13,«Da mussten wir erst leer schlucken»,news,http://www.tageswoche.ch/de/2012_02/sport/277830/da-mussten-wir-erst-leer-schlucken.htm
0,283774.0,2012-01-13,Unsere liebsten Skandale,news,http://www.tageswoche.ch/de/2012_02/schweiz/283774/unsere-liebsten-skandale.htm
0,284212.0,2012-01-13,Warum bloss ist die Angst so gross in Basel?,news,http://www.tageswoche.ch/de/2012_02/basel/284212/warum-bloss-ist-die-angst-so-gross-in-basel.htm
0,308888.0,2012-01-16,FC Basel: Was nach zwölf Jahren Gigi Oeri bleibt,news,http://www.tageswoche.ch/de/2012_02/sport/308888/fc-basel-was-nach-zwoelf-jahren-gigi-oeri-bleibt.htm
0,308982.0,2012-01-20,«Der Sturz ist Teil meines Lebens. Aus.»,news,http://www.tageswoche.ch/de/2012_03/sport/308982/der-sturz-ist-teil-meines-lebens-aus.htm
0,319605.0,2012-01-18,«Blick»: Hildebrand-Kontoauszug war gefälscht,news,http://www.tageswoche.ch/de/2012_02/schweiz/319605/blick-hildebrand-kontoauszug-war-gefaelscht.htm
0,320638.0,2012-01-20,Wasserschloss Schweiz im Visier von Vittel & Co,news,http://www.tageswoche.ch/de/2012_03/schweiz/320638/wasserschloss-schweiz-im-visier-von-vittel-co.htm
0,320639.0,2012-01-20,Wie Nestlé Wasser in Gold verwandelt,news,http://www.tageswoche.ch/de/2012_03/kultur/320639/wie-nestle-wasser-in-gold-verwandelt.htm
0,324366.0,2012-01-19,Luftraum über Davos wird von Sitten aus geschützt,newswire,http://www.tageswoche.ch/de/2012_02/schweiz/324366/luftraum-ueber-davos-wird-von-sitten-aus-geschuetzt.htm
0,329073.0,2012-01-27,Gefordert: Erwin Oesch,news,http://www.tageswoche.ch/de/2012_04/basel/329073/gefordert-erwin-oesch.htm
0,329731.0,2012-01-27,"«Die Menschheit hat 1001 Gründe, Sex zu haben»",news,http://www.tageswoche.ch/de/2012_04/schweiz/329731/die-menschheit-hat-1001-gruende-sex-zu-haben.htm
0,329935.0,2012-01-27,Der Sport erobert die Hörsäle,news,http://www.tageswoche.ch/de/2012_04/sport/329935/der-sport-erobert-die-hoersaele.htm
0,330199.0,2012-01-20,Die Blumenfrau ist nicht mehr,news,http://www.tageswoche.ch/de/2012_03/basel/330199/die-blumenfrau-ist-nicht-mehr.htm
0,333036.0,2012-01-21,Cuche eine Klasse für sich,news,http://www.tageswoche.ch/de/2012_03/sport/333036/cuche-eine-klasse-fuer-sich.htm
0,337669.0,2012-01-23,"«Alles Zufall, mon cher!»",news,http://www.tageswoche.ch/de/2012_03/kultur/337669/alles-zufall-mon-cher.htm
0,342322.0,2012-01-23,Hafen-René bekommt Gesellschaft,news,http://www.tageswoche.ch/de/2012_03/basel/342322/hafen-rene-bekommt-gesellschaft.htm
0,342808.0,2012-01-27,"Willkommen in der schönen, neuen Arbeitswelt ",news,http://www.tageswoche.ch/de/2012_04/schweiz/342808/willkommen-in-der-schoenen-neuen-arbeitswelt.htm
0,346991.0,2012-01-27,Das letzte Tabu,news,http://www.tageswoche.ch/de/2012_04/schweiz/346991/das-letzte-tabu.htm
0,347894.0,2012-01-27,Für sie solls rote Rosen regnen,news,http://www.tageswoche.ch/de/2012_04/basel/347894/fuer-sie-solls-rote-rosen-regnen.htm
0,356598.0,2012-01-27,Softsex fürs Ohr,blog,http://www.tageswoche.ch/de/blogs/listomania/356598/softsex-fuers-ohr.htm
0,357307.0,2012-01-26,Christian Vultier wird Kunsthalle-Beizer,news,http://www.tageswoche.ch/de/2012_03/basel/357307/christian-vultier-wird-kunsthalle-beizer.htm
0,361102.0,2012-02-03,Kunst und ihr Glamour-Faktor ,news,http://www.tageswoche.ch/de/2012_05/basel/361102/kunst-und-ihr-glamour-faktor.htm
0,382702.0,2012-02-03,Kalbskopfbäggli,blog,http://www.tageswoche.ch/de/blogs/leibspeise/382702/kalbskopfbaeggli.htm
0,382954.0,2012-02-03,Der Eigensinn der Eigenheer,news,http://www.tageswoche.ch/de/2012_05/kultur/382954/der-eigensinn-der-eigenheer.htm
0,383877.0,2012-01-31,Peter Indra wird neuer Chef der Gesundheitsversorgung Basel-Stadt,newswire,http://www.tageswoche.ch/de/2012_04/basel/383877/peter-indra-wird-neuer-chef-der-gesundheitsversorgung-basel-stadt.htm
0,384827.0,2012-02-02,Wau! Spielplatz für Hunde eröffnet,news,http://www.tageswoche.ch/de/2012_04/basel/384827/wau-spielplatz-fuer-hunde-eroeffnet.htm
0,385106.0,2012-02-03,Winterfreuden vor der Haustüre,news,http://www.tageswoche.ch/de/2012_05/basel/385106/winterfreuden-vor-der-haustuere.htm
0,385161.0,2012-02-07,Späte Genugtuung für Medienopfer,news,http://www.tageswoche.ch/de/2012_05/schweiz/385161/spaete-genugtuung-fuer-medienopfer.htm
0,385632.0,2012-02-06,Es glemmt am Fasnachtsbrunnen,news,http://www.tageswoche.ch/de/2012_05/basel/385632/es-glemmt-am-fasnachtsbrunnen.htm
