,article_id,comments,published,title,type,url
0,731962.0,3.0,2016-10-11,Die TagesWoche erreicht mehr Leser und Leserinnen,newswire,http://www.tageswoche.ch/de/2016_42/basel/731962/die-tageswoche-erreicht-mehr-leser-und-leserinnen.htm
0,731966.0,1.0,2016-10-11,"Frustrierte FCB-Fans, verunsicherte Prattler und unzufriedene Migranten",news,http://www.tageswoche.ch/de/2016_42/basel/731966/frustrierte-fcb-fans-verunsicherte-prattler-und-unzufriedene-migranten.htm
0,731974.0,5.0,2016-10-11,Energieministerin warnt vor Blackouts und Millionenklagen,newswire,http://www.tageswoche.ch/de/2016_42/schweiz/731974/energieministerin-warnt-vor-blackouts-und-millionenklagen.htm
0,731978.0,6.0,2016-10-30,Stadttheater versus Produktionshaus: Ein Gespenst geht um in der Theaterlandschaft,news,http://www.tageswoche.ch/de/2016_42/kultur/731978/stadttheater-versus-produktionshaus-ein-gespenst-geht-um-in-der-theaterlandschaft.htm
0,731979.0,0.0,2016-10-11,Kantone driften beim Frühfranzösisch auseinander,newswire,http://www.tageswoche.ch/de/2016_42/schweiz/731979/kantone-driften-beim-fruehfranzoesisch-auseinander.htm
0,731982.0,9.0,2016-10-12,"Cremen, Fummel, Schmuckstücke: An der Feldbergstrasse hat ein neuer Laden fürs Schöne aufgemacht",news,http://www.tageswoche.ch/de/2016_41/kultur/731982/cremen-fummel-schmuckstuecke-an-der-feldbergstrasse-hat-ein-neuer-laden-fuers-schoene-aufgemacht.htm
0,731992.0,13.0,2016-10-11,Bei Massnahmen gegen Kriegsverbrechen darf es kein Veto geben,news,http://www.tageswoche.ch/de/2016_42/international/731992/bei-massnahmen-gegen-kriegsverbrechen-darf-es-kein-veto-geben.htm
0,731995.0,0.0,2016-10-12,Die neue Kapitale soll aus der Wüste wachsen,news,http://www.tageswoche.ch/de/2016_42/international/731995/die-neue-kapitale-soll-aus-der-wueste-wachsen.htm
0,731996.0,0.0,2016-10-11,«Könnten immer weitermachen» – Depeche Mode kündigt neue Platte an,newswire,http://www.tageswoche.ch/de/2016_42/kultur/731996/koennten-immer-weitermachen-depeche-mode-kuendigt-neue-platte-an.htm
0,732004.0,0.0,2016-10-11,Verletzter und zwei Festnahmen nach Streit in Basel,newswire,http://www.tageswoche.ch/de/2016_42/basel/732004/verletzter-und-zwei-festnahmen-nach-streit-in-basel.htm
0,732005.0,0.0,2016-10-12,Das sind die fünf Nominierten für den Basler Pop-Preis,news,http://www.tageswoche.ch/de/2016_42/kultur/732005/das-sind-die-fuenf-nominierten-fuer-den-basler-pop-preis.htm
0,732017.0,0.0,2016-10-11,Seltener Riesenkalmar im Nordwesten Spaniens fotografiert,newswire,http://www.tageswoche.ch/de/2016_42/international/732017/seltener-riesenkalmar-im-nordwesten-spaniens-fotografiert.htm
0,732026.0,0.0,2016-10-11,Deutschland wird nicht gefordert und für England endet eine Serie,newswire,http://www.tageswoche.ch/de/2016_42/sport/732026/deutschland-wird-nicht-gefordert-und-fuer-england-endet-eine-serie.htm
0,732049.0,4.0,2016-10-12,"Neuer Skandal erschüttert Basler Polizei, Musik Hug macht dicht – und der Popstar des Jahres wird gesucht",news,http://www.tageswoche.ch/de/2016_42/basel/732049/neuer-skandal-erschuettert-basler-polizei-musik-hug-macht-dicht-und-der-popstar-des-jahres-wird-gesucht.htm
0,732053.0,0.0,2016-10-12,Post lässt Pakete am Sonntag durch Taxifahrer ausliefern,newswire,http://www.tageswoche.ch/de/2016_42/schweiz/732053/post-laesst-pakete-am-sonntag-durch-taxifahrer-ausliefern.htm
0,732060.0,1.0,2016-10-12,Zynismus ist bei Schweizer Arbeitnehmern weit verbreitet,newswire,http://www.tageswoche.ch/de/2016_42/schweiz/732060/zynismus-ist-bei-schweizer-arbeitnehmern-weit-verbreitet.htm
0,732062.0,8.0,2016-10-14,Grosser Rat: Der Rechtsrutsch bleibt wahrscheinlich,news,http://www.tageswoche.ch/de/2016_42/basel/732062/grosser-rat-der-rechtsrutsch-bleibt-wahrscheinlich.htm
0,732064.0,1.0,2016-10-12,Mirjam Ballmer zieht es schon wieder in die Politik,news,http://www.tageswoche.ch/de/2016_42/basel/732064/mirjam-ballmer-zieht-es-schon-wieder-in-die-politik.htm
0,732066.0,1.0,2016-10-26,"Die Rüeblihose schlägt zurück – und es tut sehr, sehr weh",news,http://www.tageswoche.ch/de/2016_42/leben/732066/die-rueeblihose-schlaegt-zurueck-und-es-tut-sehr-sehr-weh.htm
0,732068.0,0.0,2016-10-13,Dirk Koy schafft Gott gleich gegen visuellen Durchfall – zum Beispiel für Yello,news,http://www.tageswoche.ch/de/2016_42/kultur/732068/dirk-koy-schafft-gott-gleich-gegen-visuellen-durchfall-zum-beispiel-fuer-yello.htm
0,732071.0,0.0,2016-10-12,Basler Zolli: Erste Okapi-Geburt seit elf Jahren,blog,http://www.tageswoche.ch/de/blogs/bildstoff/732071/basler-zolli-erste-okapi-geburt-seit-elf-jahren.htm
0,732073.0,2.0,2016-10-12,Basler Staatsanwaltschaft droht FCB-Ultras mit Netz-Fahndung,newswire,http://www.tageswoche.ch/de/2016_42/basel/732073/basler-staatsanwaltschaft-droht-fcb-ultras-mit-netz-fahndung.htm
0,732076.0,0.0,2016-10-12,"Grosses Hörexperiment soll ergründen, was einen Rhythmus zum Groove macht",newswire,http://www.tageswoche.ch/de/2016_42/schweiz/732076/grosses-hoerexperiment-soll-ergruenden-was-einen-rhythmus-zum-groove-macht.htm
0,732086.0,1.0,2016-10-12,Schweizer Energiekonzerne begraben Pläne für neue AKW definitiv,newswire,http://www.tageswoche.ch/de/2016_42/schweiz/732086/schweizer-energiekonzerne-begraben-plaene-fuer-neue-akw-definitiv.htm
0,732090.0,4.0,2016-10-14,Elisabeth Ackermann überholt Lorenz Nägelin: Rot-Grün liegt neu vorne ,news,http://www.tageswoche.ch/de/2016_42/basel/732090/elisabeth-ackermann-ueberholt-lorenz-naegelin-rot-gruen-liegt-neu-vorne.htm
0,732091.0,11.0,2016-10-14,Regierungspräsidium: Baschi Dürr verschläft den sicheren Wahlsieg,news,http://www.tageswoche.ch/de/2016_42/basel/732091/regierungspraesidium-baschi-duerr-verschlaeft-den-sicheren-wahlsieg.htm
0,732096.0,10.0,2016-10-15,Kann eine Umfrage den Ausgang einer Wahl beeinflussen?,news,http://www.tageswoche.ch/de/2016_42/basel/732096/kann-eine-umfrage-den-ausgang-einer-wahl-beeinflussen.htm
0,732098.0,0.0,2016-10-12,London will auch nach Brexit Zugang zum EU-Binnenmarkt,newswire,http://www.tageswoche.ch/de/2016_42/international/732098/london-will-auch-nach-brexit-zugang-zum-eu-binnenmarkt.htm
0,732100.0,16.0,2016-10-13,Dürr fuhr als einziger Regierungsrat eine eigene Luxuskarosse,news,http://www.tageswoche.ch/de/2016_42/basel/732100/duerr-fuhr-als-einziger-regierungsrat-eine-eigene-luxuskarosse.htm
0,732101.0,1.0,2016-10-12,Der Bundesrat erhöht für 2017 die Drittstaaten-Kontingente,newswire,http://www.tageswoche.ch/de/2016_42/schweiz/732101/der-bundesrat-erhoeht-fuer-2017-die-drittstaaten-kontingente.htm
0,732111.0,5.0,2016-10-13,"Pfusch, Streit, offene Rechnungen – die Theater-Sanierung gerät zum Debakel",news,http://www.tageswoche.ch/de/2016_42/basel/732111/pfusch-streit-offene-rechnungen-die-theater-sanierung-geraet-zum-debakel.htm
0,732116.0,0.0,2016-10-13,So informieren sich Baslerinnen und Basler über das Zeitgeschehen – Und Sie?,news,http://www.tageswoche.ch/de/2016_42/basel/732116/so-informieren-sich-baslerinnen-und-basler-ueber-das-zeitgeschehen-und-sie.htm
0,732118.0,0.0,2016-10-17,PSG – von der Lachnummer zum unangefochtenen Herrscher,news,http://www.tageswoche.ch/de/2016_42/sport/732118/psg-von-der-lachnummer-zum-unangefochtenen-herrscher.htm
0,732134.0,3.0,2016-10-13,Trump durch neue Vorwürfe noch stärker in Bedrängnis,newswire,http://www.tageswoche.ch/de/2016_42/international/732134/trump-durch-neue-vorwuerfe-noch-staerker-in-bedraengnis.htm
0,732144.0,0.0,2016-10-13,"Dürr, Dürr und nochmals Dürr ",news,http://www.tageswoche.ch/de/2016_42/basel/732144/duerr-duerr-und-nochmals-duerr.htm
0,732146.0,0.0,2016-10-13,Italienischer Literaturnobelpreisträger Dario Fo ist tot,newswire,http://www.tageswoche.ch/de/2016_42/kultur/732146/italienischer-literaturnobelpreistraeger-dario-fo-ist-tot.htm
0,732148.0,0.0,2016-10-13,Männer haben Probleme mit intelligenten Frauen? Stimmt nicht,newswire,http://www.tageswoche.ch/de/2016_42/schweiz/732148/maenner-haben-probleme-mit-intelligenten-frauen-stimmt-nicht.htm
0,732153.0,3.0,2016-10-13,Bau der Tramverlängerung nach Weil wird markant günstiger,newswire,http://www.tageswoche.ch/de/2016_42/basel/732153/bau-der-tramverlaengerung-nach-weil-wird-markant-guenstiger.htm
0,732154.0,1.0,2016-10-14,Rund um die drei Gipfel des Wildstrubel,news,http://www.tageswoche.ch/de/2016_42/leben/732154/rund-um-die-drei-gipfel-des-wildstrubel.htm
0,732155.0,30.0,2016-10-13,Keine «Tour Vagabonde»: Streit zwischen Shift Mode und WG Klybeck eskaliert ,news,http://www.tageswoche.ch/de/2016_42/basel/732155/keine-tour-vagabonde-streit-zwischen-shift-mode-und-wg-klybeck-eskaliert.htm
0,732158.0,0.0,2016-10-13,Langlauf-Star Therese Johaug bleibt in Dopingkontrolle hängen,newswire,http://www.tageswoche.ch/de/2016_42/sport/732158/langlauf-star-therese-johaug-bleibt-in-dopingkontrolle-haengen.htm
0,732160.0,1.0,2016-10-16,Die Obst-Archäologin kümmert sich um die besoffene Birne,news,http://www.tageswoche.ch/de/2016_42/international/732160/die-obst-archaeologin-kuemmert-sich-um-die-besoffene-birne.htm
0,732162.0,0.0,2016-10-13,Schweizer Nasen riechen Schokolade intensiver,newswire,http://www.tageswoche.ch/de/2016_42/schweiz/732162/schweizer-nasen-riechen-schokolade-intensiver.htm
0,732165.0,0.0,2016-10-13,Flüchtlinge: Sommaruga kritisiert langsame Umsetzung der Massnahmen,newswire,http://www.tageswoche.ch/de/2016_42/international/732165/fluechtlinge-sommaruga-kritisiert-langsame-umsetzung-der-massnahmen.htm
0,732168.0,0.0,2016-10-13,Basler Polizistin erkennt in der Freizeit mutmasslichen Räuber,newswire,http://www.tageswoche.ch/de/2016_42/basel/732168/basler-polizistin-erkennt-in-der-freizeit-mutmasslichen-raeuber.htm
0,732171.0,11.0,2016-10-13,Überraschung in Stockholm: Literaturnobelpreis für Bob Dylan,newswire,http://www.tageswoche.ch/de/2016_42/kultur/732171/ueberraschung-in-stockholm-literaturnobelpreis-fuer-bob-dylan.htm
0,732173.0,0.0,2016-10-15,"Populismus funktioniert oft, aber nicht in Basel",news,http://www.tageswoche.ch/de/2016_42/basel/732173/populismus-funktioniert-oft-aber-nicht-in-basel.htm
0,732179.0,0.0,2016-10-13,Happige Busse für Nick Kyrgios – Rafael Nadal stellt Basel in Frage,newswire,http://www.tageswoche.ch/de/2016_42/sport/732179/happige-busse-fuer-nick-kyrgios-rafael-nadal-stellt-basel-in-frage.htm
0,732180.0,0.0,2016-10-13,Nach zweieinhalb Jahren 21 Chibok-Mädchen aus Geiselhaft befreit,newswire,http://www.tageswoche.ch/de/2016_42/international/732180/nach-zweieinhalb-jahren-21-chibok-maedchen-aus-geiselhaft-befreit.htm
0,732181.0,2.0,2016-10-15,"Psst, der Lautsprecher hört mit!",news,http://www.tageswoche.ch/de/2016_42/leben/732181/psst-der-lautsprecher-hoert-mit.htm
0,732189.0,9.0,2016-10-15,Flüchtlingskinder sollen im neuen Schulhaus unter sich bleiben,news,http://www.tageswoche.ch/de/2016_42/basel/732189/fluechtlingskinder-sollen-im-neuen-schulhaus-unter-sich-bleiben.htm
0,732198.0,0.0,2016-10-13,Betrunkener Asylbewerber zehrt in Bad Zurzach AG Frau ins Gebüsch,newswire,http://www.tageswoche.ch/de/2016_42/basel/732198/betrunkener-asylbewerber-zehrt-in-bad-zurzach-ag-frau-ins-gebuesch.htm
0,732202.0,0.0,2016-10-13,Laut Militärregierung soll die Thronfolge eingehalten werden,newswire,http://www.tageswoche.ch/de/2016_42/international/732202/laut-militaerregierung-soll-die-thronfolge-eingehalten-werden.htm
0,732203.0,0.0,2016-10-13,Milliardenvertrag für Chelsea,newswire,http://www.tageswoche.ch/de/2016_42/sport/732203/milliardenvertrag-fuer-chelsea.htm
0,732216.0,0.0,2016-10-14,Bob Dylan weiss offiziell noch nichts von seinem Nobelpreis,newswire,http://www.tageswoche.ch/de/2016_42/kultur/732216/bob-dylan-weiss-offiziell-noch-nichts-von-seinem-nobelpreis.htm
0,732226.0,0.0,2016-10-14,"Dürre Zeiten für die FDP, Fischer fischt und Basel als Vorbild für Zürich",news,http://www.tageswoche.ch/de/2016_42/basel/732226/duerre-zeiten-fuer-die-fdp-fischer-fischt-und-basel-als-vorbild-fuer-zuerich.htm
0,732230.0,1.0,2016-10-14,Bundesrat will Asylsuchende nicht mehr vorläufig aufnehmen,newswire,http://www.tageswoche.ch/de/2016_42/schweiz/732230/bundesrat-will-asylsuchende-nicht-mehr-vorlaeufig-aufnehmen.htm
0,732237.0,1.0,2016-10-14,Grossfahndung im Fricktal mit Helikopter bleibt erfolglos,newswire,http://www.tageswoche.ch/de/2016_42/basel/732237/grossfahndung-im-fricktal-mit-helikopter-bleibt-erfolglos.htm
0,732241.0,3.0,2016-10-14,Hachis Parmentier,blog,http://www.tageswoche.ch/de/blogs/leibspeise/732241/hachis-parmentier.htm
0,732242.0,4.0,2016-10-17,Banken weltweit zittern vor Basel – warum bloss?,news,http://www.tageswoche.ch/de/2016_42/international/732242/banken-weltweit-zittern-vor-basel-warum-bloss.htm
0,732246.0,0.0,2016-10-15,Mit der Ewigkeit ist das bei Joëlle Tuerlinckx so eine Sache,news,http://www.tageswoche.ch/de/2016_42/kultur/732246/mit-der-ewigkeit-ist-das-bei-jo-lle-tuerlinckx-so-eine-sache.htm
0,732254.0,4.0,2016-10-14,AKW-Betreiber wehren sich weiter gegen Sicherheitszuschlag,newswire,http://www.tageswoche.ch/de/2016_42/schweiz/732254/akw-betreiber-wehren-sich-weiter-gegen-sicherheitszuschlag.htm
0,732259.0,0.0,2016-10-14,Des Schmuggels verdächtigter Langzeit-Premier stellt sich der Wiederwahl,news,http://www.tageswoche.ch/de/2016_42/international/732259/des-schmuggels-verdaechtigter-langzeit-premier-stellt-sich-der-wiederwahl.htm
0,732261.0,0.0,2016-10-14,Syngenta-Käuferin ChemChina steht offenbar vor Grossfusion,newswire,http://www.tageswoche.ch/de/2016_42/international/732261/syngenta-kaeuferin-chemchina-steht-offenbar-vor-grossfusion.htm
0,732263.0,2.0,2016-10-20,"«Mich berühren Leute, die ein Problem haben»",news,http://www.tageswoche.ch/de/2016_41/kultur/732263/mich-beruehren-leute-die-ein-problem-haben.htm
0,732264.0,0.0,2016-10-14,Vor dem Luzern-Spiel: FCB-Spieler kriegen ihr Fett weg,news,http://www.tageswoche.ch/de/2016_42/sport/732264/vor-dem-luzern-spiel-fcb-spieler-kriegen-ihr-fett-weg.htm
0,732267.0,13.0,2016-10-16,Basel auf gutem Weg zu einer neuen Stadtgeschichte,news,http://www.tageswoche.ch/de/2016_42/basel/732267/basel-auf-gutem-weg-zu-einer-neuen-stadtgeschichte.htm
0,732272.0,4.0,2016-10-14,Nationalratskommission für höhere Franchise,newswire,http://www.tageswoche.ch/de/2016_42/schweiz/732272/nationalratskommission-fuer-hoehere-franchise.htm
0,732275.0,4.0,2016-10-16,Neue Initiative fordert in Baselland Beiträge für Familien mit geringem Einkommen,news,http://www.tageswoche.ch/de/2016_42/basel/732275/neue-initiative-fordert-in-baselland-beitraege-fuer-familien-mit-geringem-einkommen.htm
0,732276.0,1.0,2016-10-15,Kardinäle wollen keine BigMacs,news,http://www.tageswoche.ch/de/2016_42/international/732276/kardinaele-wollen-keine-bigmacs.htm
0,732282.0,0.0,2016-10-14,Die erste Basler Wildcard geht an Del Potro,newswire,http://www.tageswoche.ch/de/2016_42/sport/732282/die-erste-basler-wildcard-geht-an-del-potro.htm
0,732284.0,0.0,2016-10-18,Das Beste an Fifa 17? Der FCZ ist nicht dabei,blog,http://www.tageswoche.ch/de/blogs/Spieltrieb/732284/das-beste-an-fifa-17-der-fcz-ist-nicht-dabei.htm
0,732320.0,0.0,2016-10-15,Mann bedrängt Frau in öffentlichem WC in Basel,newswire,http://www.tageswoche.ch/de/2016_42/basel/732320/mann-bedraengt-frau-in-oeffentlichem-wc-in-basel.htm
0,732321.0,0.0,2016-10-15,Überfall auf Bäckerei in Basel,newswire,http://www.tageswoche.ch/de/2016_42/basel/732321/ueberfall-auf-baeckerei-in-basel.htm
0,732323.0,0.0,2016-10-15,Festnahme nach Auseinandersetzung in Basel,newswire,http://www.tageswoche.ch/de/2016_42/basel/732323/festnahme-nach-auseinandersetzung-in-basel.htm
0,732333.0,3.0,2016-10-15,Vollbesetztes Zürcher Grossmünster für den Dalai Lama,newswire,http://www.tageswoche.ch/de/2016_42/schweiz/732333/vollbesetztes-zuercher-grossmuenster-fuer-den-dalai-lama.htm
0,732337.0,0.0,2016-10-16,"Der Abend der Verteidiger, der alten und jungen Hasen",news,http://www.tageswoche.ch/de/2016_42/sport/732337/der-abend-der-verteidiger-der-alten-und-jungen-hasen.htm
0,732338.0,0.0,2016-10-15,3:0 gegen Luzern – ein Basler Sieg in alter Souveränität,news,http://www.tageswoche.ch/de/2016_42/sport/732338/30-gegen-luzern-ein-basler-sieg-in-alter-souveraenitaet.htm
0,732340.0,0.0,2016-10-15,Tomas Vaclik: «Cavani ist ein echter Killer»,news,http://www.tageswoche.ch/de/2016_42/sport/732340/tomas-vaclik-cavani-ist-ein-echter-killer.htm
0,732344.0,4.0,2016-10-15,Schloss die Polizei am Wochenende unerlaubt das Café Singer?,news,http://www.tageswoche.ch/de/2016_42/basel/732344/schloss-die-polizei-am-wochenende-unerlaubt-das-cafe-singer.htm
0,732366.0,41.0,2016-10-17,"Hautfarbe ist keine Pointe, liebes SRF",news,http://www.tageswoche.ch/de/2016_42/schweiz/732366/hautfarbe-ist-keine-pointe-liebes-srf.htm
0,732382.0,4.0,2016-10-16,Bodybuilding-Meisterschaft: Muckis überall ,blog,http://www.tageswoche.ch/de/blogs/bildstoff/732382/bodybuilding-meisterschaft-muckis-ueberall.htm
0,732388.0,0.0,2016-10-16,Sprayer in flagranti festgenommen,newswire,http://www.tageswoche.ch/de/2016_42/basel/732388/sprayer-in-flagranti-festgenommen.htm
0,732395.0,1.0,2016-10-16,Die grosse Bestürzung nach dem folgenschweren Tritt gegen Embolo,news,http://www.tageswoche.ch/de/2016_42/sport/732395/die-grosse-bestuerzung-nach-dem-folgenschweren-tritt-gegen-embolo.htm
0,732410.0,1.0,2016-12-17,Weihnachtsmenü: knuspriges Mistkratzerli statt öden Hahn,blog,http://www.tageswoche.ch/de/blogs/leibspeise/732410/weihnachtsmenue-knuspriges-mistkratzerli-statt-oeden-hahn.htm
0,732430.0,0.0,2016-10-17,Eine Vereinhornung des guten Geschmacks,news,http://www.tageswoche.ch/de/2016_42/leben/732430/eine-vereinhornung-des-guten-geschmacks.htm
0,732445.0,0.0,2016-10-17,Basshelden bringen Basel mit ihren tollkühnen Kisten zum Fliegen,news,http://www.tageswoche.ch/de/2016_43/kultur/732445/basshelden-bringen-basel-mit-ihren-tollkuehnen-kisten-zum-fliegen.htm
0,732447.0,7.0,2016-10-17,Der Bund lässt Basel in Verkehrsfragen links liegen und ein Wolf schleicht sich an,news,http://www.tageswoche.ch/de/2016_43/basel/732447/der-bund-laesst-basel-in-verkehrsfragen-links-liegen-und-ein-wolf-schleicht-sich-an.htm
0,732450.0,0.0,2016-10-17,Der Innovationspark hat einen neuen Chef,newswire,http://www.tageswoche.ch/de/2016_43/basel/732450/der-innovationspark-hat-einen-neuen-chef.htm
0,732454.0,7.0,2016-10-18,Schon 1000 Basler Primarschüler können programmieren,news,http://www.tageswoche.ch/de/2016_43/basel/732454/schon-1000-basler-primarschueler-koennen-programmieren.htm
0,732460.0,0.0,2016-10-17,Kyrgios nach Sperre der ATP nicht in Basel,newswire,http://www.tageswoche.ch/de/2016_43/sport/732460/kyrgios-nach-sperre-der-atp-nicht-in-basel.htm
0,732465.0,0.0,2016-10-17,Die Chronologie der TagesWoche: 5 Jahre oder 1826 Tage oder 253 Ausgaben,news,http://www.tageswoche.ch/de/2016_43/basel/732465/die-chronologie-der-tageswoche-5-jahre-oder-1826-tage-oder-253-ausgaben.htm
0,732467.0,2.0,2016-10-19,«Ich stelle mir einfach vor: Ich bin die Schildkröte»,news,http://www.tageswoche.ch/de/2016_43/basel/732467/ich-stelle-mir-einfach-vor-ich-bin-die-schildkroete.htm
0,732473.0,0.0,2016-10-21,Chancen und Tücken für eine neue Tennis-Generation,news,http://www.tageswoche.ch/de/2016_43/sport/732473/chancen-und-tuecken-fuer-eine-neue-tennis-generation.htm
0,732476.0,0.0,2016-10-17,Mindestens zwei Tote bei BASF nach Explosion und Grossbrand,newswire,http://www.tageswoche.ch/de/2016_43/international/732476/mindestens-zwei-tote-bei-basf-nach-explosion-und-grossbrand.htm
0,732477.0,27.0,2016-10-17,SVP will Einbürgerung in Basel erschweren,news,http://www.tageswoche.ch/de/2016_43/basel/732477/svp-will-einbuergerung-in-basel-erschweren.htm
0,732478.0,3.0,2016-10-19,"Ade Antiquitäten, willkommen Kunst – der Petershof schreibt seine Geschichte fort",news,http://www.tageswoche.ch/de/2016_43/basel/732478/ade-antiquitaeten-willkommen-kunst-der-petershof-schreibt-seine-geschichte-fort.htm
0,732482.0,0.0,2016-10-18,"Der Stürmer, den man selbst auf den Malediven kennt",news,http://www.tageswoche.ch/de/2016_43/sport/732482/der-stuermer-den-man-selbst-auf-den-malediven-kennt.htm
0,732484.0,0.0,2016-10-18,So ticken die vier grossen Wahlkreise politisch,news,http://www.tageswoche.ch/de/2016_43/basel/732484/so-ticken-die-vier-grossen-wahlkreise-politisch.htm
0,732485.0,19.0,2016-10-18,"Hör auf zu jammern, Basel",news,http://www.tageswoche.ch/de/2016_43/basel/732485/hoer-auf-zu-jammern-basel.htm
0,732498.0,0.0,2016-10-22,Nicht ganz hundert: Dani Levys neuer Film «Welt der Wunderlichs»,news,http://www.tageswoche.ch/de/2016_43/kultur/732498/nicht-ganz-hundert-dani-levys-neuer-film-welt-der-wunderlichs.htm
0,732499.0,0.0,2016-10-19,In Gedanken bei der Abwehr – der FCB vor dem Auftritt in Paris,news,http://www.tageswoche.ch/de/2016_43/sport/732499/in-gedanken-bei-der-abwehr-der-fcb-vor-dem-auftritt-in-paris.htm
0,732500.0,0.0,2016-10-17,Wolfsburg entlässt Trainer Hecking,newswire,http://www.tageswoche.ch/de/2016_43/sport/732500/wolfsburg-entlaesst-trainer-hecking.htm
0,732501.0,0.0,2016-10-18,Unregelmässigkeiten? Für Machthaber Djukanović haben sogar die Toten gestimmt,news,http://www.tageswoche.ch/de/2016_43/international/732501/unregelmaessigkeiten-fuer-machthaber-djukanovi-haben-sogar-die-toten-gestimmt.htm
0,732502.0,5.0,2016-10-18,Polizei schliesst zweimal das falsche Lokal und «bedauert den Fehler sehr»,news,http://www.tageswoche.ch/de/2016_43/basel/732502/polizei-schliesst-zweimal-das-falsche-lokal-und-bedauert-den-fehler-sehr.htm
0,732503.0,0.0,2016-10-18,Novak Djokovic bietet in seiner Krise ein Bild der Zerrissenheit,news,http://www.tageswoche.ch/de/2016_43/sport/732503/novak-djokovic-bietet-in-seiner-krise-ein-bild-der-zerrissenheit.htm
