,article_id,published,type,Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert,section
3008,412846.0,2012-04-05,news,basel/412846,11.0,9.0,00:04:57,7.0,"85,71 %","63,64 %","0,00 CHF",basel
3009,421915.0,2012-05-11,news,basel/421915,11.0,10.0,00:01:15,9.0,"100,00 %","81,82 %","0,00 CHF",basel
3010,424073.0,2012-05-20,news,kultur/424073,11.0,7.0,00:05:00,7.0,"71,43 %","63,64 %","0,00 CHF",kultur
3011,424911.0,2012-05-25,news,agenda/424911,11.0,10.0,00:04:23,9.0,"88,89 %","81,82 %","0,00 CHF",agenda
3012,430499.0,2012-06-13,news,basel/430499,11.0,10.0,00:03:57,9.0,"88,89 %","90,91 %","0,00 CHF",basel
3013,430949.0,2012-06-15,news,basel/430949,11.0,8.0,00:01:34,8.0,"62,50 %","72,73 %","0,00 CHF",basel
3014,439911.0,2012-07-17,news,basel/439911,11.0,9.0,00:04:33,7.0,"57,14 %","63,64 %","0,00 CHF",basel
3015,438899.0,2012-07-13,newswire,kultur/438899,11.0,11.0,00:00:00,11.0,"100,00 %","100,00 %","0,00 CHF",kultur
3016,440466.0,2012-07-19,news,leben/440466,11.0,8.0,00:01:28,8.0,"75,00 %","72,73 %","0,00 CHF",leben
3017,443350.0,2012-07-31,news,schweiz/443350,11.0,6.0,00:00:59,6.0,"66,67 %","54,55 %","0,00 CHF",schweiz
3018,117749.0,2012-08-13,news,basel/117749,11.0,11.0,00:02:12,7.0,"85,71 %","81,82 %","0,00 CHF",basel
3019,458772.0,2012-09-11,news,basel/458772,11.0,11.0,00:00:00,11.0,"100,00 %","100,00 %","0,00 CHF",basel
3020,459045.0,2012-09-14,news,basel/459045,11.0,10.0,00:10:38,9.0,"88,89 %","90,91 %","0,00 CHF",basel
3021,464876.0,2012-09-26,news,basel/464876,11.0,11.0,00:00:00,11.0,"100,00 %","100,00 %","0,00 CHF",basel
3022,462874.0,2012-09-21,news,leben/462874,11.0,11.0,00:00:00,11.0,"100,00 %","100,00 %","0,00 CHF",leben
3023,469698.0,2012-10-12,news,leben/469698,11.0,9.0,00:00:43,8.0,"87,50 %","72,73 %","0,00 CHF",leben
3024,469423.0,2012-10-12,news,sport/469423,11.0,8.0,00:02:14,8.0,"87,50 %","72,73 %","0,00 CHF",sport
3025,470434.0,2012-10-19,news,agenda/470434,11.0,11.0,00:00:00,11.0,"100,00 %","100,00 %","0,00 CHF",agenda
3026,475101.0,2012-11-02,news,basel/475101,11.0,7.0,00:04:55,7.0,"42,86 %","54,55 %","0,00 CHF",basel
3027,483565.0,2012-11-22,news,basel/483565,11.0,11.0,00:00:00,10.0,"100,00 %","100,00 %","0,00 CHF",basel
3028,484315.0,2012-11-23,news,kultur/484315,11.0,8.0,00:06:24,6.0,"66,67 %","54,55 %","0,00 CHF",kultur
3029,484931.0,2012-11-29,news,leben/484931,11.0,8.0,00:05:31,6.0,"83,33 %","63,64 %","0,00 CHF",leben
3030,489606.0,2012-12-10,news,basel/489606,11.0,11.0,00:00:00,11.0,"100,00 %","100,00 %","0,00 CHF",basel
