,topic_id,count,pageviews,average,median,min,max,level0,level1,level2,level3,title
152,970,22,30977,1408.0454545454545,1500.5,148,2271,Sport,Fussball,FC Lugano,,FC Lugano
153,449,22,22611,1027.7727272727273,123.0,37,11979,Umwelt & Natur,Klimawandel,,,Klimawandel
154,308,22,16438,747.1818181818181,331.0,57,4742,_Länder,Naher Osten,Ägypten,,Ägypten
155,596,22,26084,1185.6363636363637,405.0,60,10927,Gesellschaft,Kinder & Jugend,,,Kinder & Jugend
156,211,22,36150,1643.1818181818182,1052.5,424,7474,Kultur,Architektur,,,Architektur
157,894,21,47422,2258.190476190476,2024.0,239,8107,Kultur,Museen,Kunstmuseum,Kunstmuseum Erweiterungsbau,Kunstmuseum Erweiterungsbau
158,405,21,40278,1918.0,2049.0,127,4174,Sport,Fussball,FC Luzern,,FC Luzern
159,495,21,4706,224.0952380952381,169.0,45,863,Unglücksfälle und Verbrechen,,,,Unglücksfälle und Verbrechen
160,976,21,43677,2079.8571428571427,1073.0,136,18345,Kultur,Jugendkultur,,,Jugendkultur
161,466,21,40751,1940.5238095238096,854.0,198,8874,Politik,_Themen,Sozialwerke,,Sozialwerke
162,433,21,21291,1013.8571428571429,258.0,68,4770,Politik,_Themen,Armee,,Armee
163,221,21,9631,458.6190476190476,172.0,31,3867,_Länder,Naher Osten,,,Naher Osten
164,618,20,16282,814.1,396.5,68,3908,Politik,_Themen,Krankenkassen,,Krankenkassen
165,178,20,21581,1079.05,852.0,30,4770,Politik,_Parteien,,,_Parteien
166,639,20,32463,1623.15,1677.5,139,4087,Sport,Fussball,FC St. Gallen,,FC St. Gallen
167,903,20,18944,947.2,722.5,190,2756,Kultur,Kunst,Künstlerporträts,,Künstlerporträts
168,840,20,17620,881.0,351.5,31,3867,Krieg,,,,Krieg
169,885,20,41190,2059.5,1971.0,275,3829,Sport,Fussball,FC Vaduz,,FC Vaduz
170,1046,19,40937,2154.5789473684213,942.0,147,15711,_Zeitgeschichte,5 Jahre TagesWoche,,,5 Jahre TagesWoche
171,847,19,26483,1393.842105263158,826.0,36,10842,Sicherheit,,,,Sicherheit
172,627,19,8351,439.5263157894737,181.0,66,2536,Wirtschaft,Landwirtschaft,,,Landwirtschaft
173,604,19,38078,2004.1052631578948,1652.0,272,7943,_Textformen & feste Rubriken,Auch das noch,,,Auch das noch
174,745,19,14554,766.0,595.0,252,2816,_Firmen,Messe Basel,,,Messe Basel
175,180,19,28224,1485.4736842105262,1412.0,79,4770,Politik,_Parteien,FDP,,FDP
176,915,19,11931,627.9473684210526,297.0,50,2645,Sport,Fussball,Fifa,,Fifa
177,763,19,45107,2374.0526315789475,2045.0,399,5719,Kultur,Messen,Art Basel,,Art Basel
178,530,18,8891,493.94444444444446,380.5,68,1472,Lokales,Zoo Basel,,,Zoo Basel
179,148,18,35179,1954.388888888889,1130.0,49,7474,_Firmen,Roche,,,Roche
180,474,18,40326,2240.3333333333335,1784.5,90,6994,Politik,_Themen,Sozialwesen,,Sozialwesen
181,1036,18,20843,1157.9444444444443,652.5,184,6817,Sport,Fussball,WM 2018,,WM 2018
182,245,18,18438,1024.3333333333333,515.0,45,4712,_Länder,Europa,Serbien,,Serbien
183,465,18,25660,1425.5555555555557,596.0,30,7540,Politik,_Themen,Gesundheitswesen,,Gesundheitswesen
184,39,18,18190,1010.5555555555555,781.5,278,3524,Veranstaltung,Ausstellung Veranstaltung,,,Ausstellung Veranstaltung
185,476,17,23041,1355.3529411764705,989.0,104,4238,Lokales,Fasnacht,,,Fasnacht
186,230,17,34759,2044.6470588235295,948.0,161,7806,Kultur,Design,,,Design
187,888,17,3496,205.64705882352942,177.0,60,554,Sport,Tennis,Swiss Indoors,,Swiss Indoors
188,220,17,22429,1319.3529411764705,1079.0,226,3957,Sport,Boxen,,,Boxen
189,974,17,30506,1794.4705882352941,1142.0,580,5719,Kultur,Kunstmarkt,,,Kunstmarkt
190,1041,17,21673,1274.8823529411766,790.0,236,4334,_Textformen & feste Rubriken,Supersach,,,Supersach
191,416,17,3637,213.94117647058823,159.0,35,641,_Länder,Europa,Österreich,,Österreich
192,327,17,15579,916.4117647058823,187.0,36,5484,Politik,_Organe,Regierungsrat BL,,Regierungsrat BL
193,364,16,28319,1769.9375,1512.0,347,4457,_Personen,Guy Morin,,,Guy Morin
194,201,16,31875,1992.1875,1634.5,188,9418,Gesellschaft,Drogen,,,Drogen
195,406,16,22619,1413.6875,1307.5,385,3103,Sport,Fussball,FC Thun,,FC Thun
196,575,15,8865,591.0,145.0,35,4256,Naturereignisse,,,,Naturereignisse
197,943,15,11875,791.6666666666666,674.0,114,2423,Kultur,Kulturgeschichte,,,Kulturgeschichte
198,742,15,46027,3068.4666666666667,1224.0,425,13347,Sport,Fanverhalten,,,Fanverhalten
199,961,15,10062,670.8,361.0,22,2833,Internet,,,,Internet
200,282,15,16354,1090.2666666666667,750.0,68,5227,Gesellschaft,Menschenrechte,,,Menschenrechte
201,907,15,8912,594.1333333333333,193.0,24,2536,_Firmen,Syngenta,,,Syngenta
202,151,15,4801,320.06666666666666,292.0,69,1336,_Personen,Roger Federer,,,Roger Federer
203,292,15,18066,1204.4,881.0,46,4827,Politik,_Themen,Migration,Einbürgerung,Einbürgerung
204,822,15,24020,1601.3333333333333,1293.0,274,4040,Stadtleben,,,,Stadtleben
205,185,15,24911,1660.7333333333333,1080.0,30,4827,Politik,_Parteien,CVP,,CVP
206,1037,15,18924,1261.6,599.0,184,6817,Sport,Fussball,Schweizerischer Fussball-Verband SFV,,Schweizerischer Fussball-Verband SFV
207,458,14,23000,1642.857142857143,422.0,41,11979,Naturereignisse,Unwetter,,,Unwetter
208,357,14,29642,2117.285714285714,991.0,147,15711,Medien,TagesWoche,,,TagesWoche
209,564,14,9943,710.2142857142857,375.5,25,3459,Energie,Erneuerbare Energien,,,Erneuerbare Energien
210,554,14,14345,1024.642857142857,535.0,49,3899,Wirtschaft,Detailhandel,,,Detailhandel
211,773,14,20837,1488.357142857143,980.5,142,4040,_Quartiere,Innenstadt,,,Innenstadt
212,212,14,4248,303.42857142857144,145.5,49,919,Sport,Eishockey,,,Eishockey
213,877,14,18555,1325.357142857143,969.0,82,3908,Lokales,Universitätsspital Basel,,,Universitätsspital Basel
214,657,14,46714,3336.714285714286,1886.5,347,21122,Restaurant: Küche,,,,Restaurant: Küche
215,214,14,11923,851.6428571428571,536.0,123,2951,Verkehr,Öffentlicher Verkehr,TNW,,TNW
216,320,14,21207,1514.7857142857142,449.0,107,14358,_Länder,Europa,Polen,,Polen
217,421,14,5590,399.2857142857143,325.0,25,1307,Sport,Leichtathletik,,,Leichtathletik
218,1025,13,25125,1932.6923076923076,1843.0,55,5621,Lifestyle,Reisen,Sommerserie: Besuch in Basel,,Sommerserie: Besuch in Basel
219,789,13,39712,3054.769230769231,2885.0,856,6862,Wirtschaft,Immobilien,,,Immobilien
220,52,13,12711,977.7692307692307,681.0,318,3654,Kino,Dokumentation Film,,,Dokumentation Film
221,528,13,7516,578.1538461538462,420.0,56,1356,Umwelt & Natur,Abfall,,,Abfall
222,283,13,15708,1208.3076923076924,876.0,22,3980,Gesellschaft,Humor,,,Humor
223,53,13,12340,949.2307692307693,487.0,321,4712,Kino,Drama Film,,,Drama Film
224,628,13,11593,891.7692307692307,529.0,55,3504,_Textformen & feste Rubriken,Editorial,,,Editorial
225,863,13,14647,1126.6923076923076,587.0,348,4873,Kultur,Performances,,,Performances
226,1014,13,8871,682.3846153846154,454.0,82,1670,Parkplätze,,,,Parkplätze
227,875,12,25267,2105.5833333333335,1378.0,409,5627,Alois K. Hürlimann,,,,Alois K. Hürlimann
228,286,12,9306,775.5,411.0,50,2951,Verkehr,Öffentlicher Verkehr,BLT,,BLT
229,351,12,22648,1887.3333333333333,463.0,24,8495,Digital,Facebook,,,Facebook
230,505,12,10058,838.1666666666666,218.0,35,6330,Verkehr,Flugverkehr,,,Flugverkehr
231,239,12,13142,1095.1666666666667,774.5,24,5141,Wirtschaft,Globalisierung,,,Globalisierung
