,topic_id,count,pageviews,average,median,min,max,level0,level1,level2,level3,title
121,210,8,12946,1618.25,1644.5,458,2770,Sport,Kampfsport,,,Kampfsport
122,418,37,59357,1604.2432432432433,860.0,199,10927,Bildung,Schule,,,Schule
123,822,15,24020,1601.3333333333333,1293.0,274,4040,Stadtleben,,,,Stadtleben
124,453,6,9603,1600.5,886.0,515,5573,Kultur,Oper,,,Oper
125,289,43,68669,1596.953488372093,969.0,64,7306,Politik,_Themen,Migration,Integration,Integration
126,1008,28,44677,1595.607142857143,824.0,72,8357,Wirtschaft,Steuern,Unternehmenssteuer-Reform III,,Unternehmenssteuer-Reform III
127,1016,6,9519,1586.5,1593.5,941,2106,Erlenmatt,,,,Erlenmatt
128,274,26,40840,1570.7692307692307,596.5,61,12608,Gesellschaft,Medizin,,,Medizin
129,44,4,6282,1570.5,1590.5,262,2839,Veranstaltung,Andere Veranstaltung,,,Andere Veranstaltung
130,240,37,56829,1535.918918918919,900.0,33,6627,Lifestyle,Konsum,,,Konsum
131,291,78,119442,1531.3076923076924,612.0,22,25203,Politik,_Themen,Migration,Asylwesen,Asylwesen
132,6,41,62437,1522.8536585365853,150.0,27,30947,_Länder,Europa,,,Europa
133,537,70,106236,1517.6571428571428,1114.5,130,7502,_Textformen & feste Rubriken,Interview,,,Interview
134,320,14,21207,1514.7857142857142,449.0,107,14358,_Länder,Europa,Polen,,Polen
135,435,36,53983,1499.5277777777778,688.5,42,12608,Lifestyle,Ernährung,,,Ernährung
136,309,87,130011,1494.3793103448277,1019.0,26,11818,Politik,_Organe,Regierungsrat BS,,Regierungsrat BS
137,773,14,20837,1488.357142857143,980.5,142,4040,_Quartiere,Innenstadt,,,Innenstadt
138,525,4,5951,1487.75,1386.5,998,2180,_Personen,Mirjam Ballmer,,,Mirjam Ballmer
139,180,19,28224,1485.4736842105262,1412.0,79,4770,Politik,_Parteien,FDP,,FDP
140,454,61,90592,1485.1147540983607,903.0,30,9909,Lifestyle,,,,Lifestyle
141,936,7,10375,1482.142857142857,557.0,154,4334,Der Konsument von Morgen,,,,Der Konsument von Morgen
142,170,59,87003,1474.6271186440679,870.0,119,7067,Kultur,Konzerte,,,Konzerte
143,42,30,43538,1451.2666666666667,586.5,180,11183,Veranstaltung,Konzert Veranstaltung,,,Konzert Veranstaltung
