,article_id,published,type,Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert,section
75,726343.0,2016-08-07,news,sport/726343,2048.0,1907.0,00:04:25,508.0,"85,04 %","55,66 %","0,00 CHF",sport
76,727760.0,2016-08-21,news,sport/727760,2047.0,1940.0,00:05:20,1679.0,"91,66 %","84,17 %","0,00 CHF",sport
77,726593.0,2016-08-09,news,sport/726593,2025.0,1875.0,00:04:21,564.0,"82,27 %","64,74 %","0,00 CHF",sport
78,727205.0,2016-08-16,news,sport/727205,1992.0,1903.0,00:04:19,1371.0,"94,38 %","82,93 %","0,00 CHF",sport
79,727604.0,2016-08-19,news,sport/727604,1986.0,1836.0,00:05:16,640.0,"82,50 %","66,06 %","0,00 CHF",sport
80,727944.0,2016-08-23,news,sport/727944,1985.0,1894.0,00:02:31,1006.0,"91,05 %","70,38 %","0,00 CHF",sport
81,728386.0,2016-08-29,newswire,international/728386,1983.0,1814.0,00:04:32,1025.0,"83,61 %","65,20 %","0,00 CHF",international
82,725802.0,2016-08-08,news,basel/725802,1981.0,1813.0,00:03:27,979.0,"86,52 %","61,18 %","0,00 CHF",basel
83,727840.0,2016-08-23,news,basel/727840,1951.0,1814.0,00:04:05,1411.0,"89,09 %","77,24 %","0,00 CHF",basel
84,726162.0,2016-08-03,newswire,sport/726162,1939.0,1828.0,00:02:59,1321.0,"89,40 %","76,12 %","0,00 CHF",sport
85,727681.0,2016-08-20,news,sport/727681,1934.0,1849.0,00:04:09,682.0,"86,22 %","62,41 %","0,00 CHF",sport
86,677635.0,2015-01-24,news,basel/677635,1930.0,1562.0,00:03:59,1494.0,"78,11 %","74,20 %","0,00 CHF",basel
87,726924.0,2016-08-12,news,sport/726924,1896.0,1763.0,00:03:45,461.0,"74,84 %","55,38 %","0,00 CHF",sport
88,726638.0,2016-08-11,news,basel/726638,1893.0,1656.0,00:03:50,407.0,"64,37 %","41,42 %","0,00 CHF",basel
89,727267.0,2016-08-16,news,basel/727267,1881.0,1726.0,00:03:20,731.0,"73,32 %","52,53 %","0,00 CHF",basel
90,728250.0,2016-08-27,news,basel/728250,1849.0,1667.0,00:03:16,639.0,"84,04 %","53,27 %","0,00 CHF",basel
91,728146.0,2016-08-30,news,sport/728146,1838.0,1747.0,00:04:04,1118.0,"87,66 %","69,97 %","0,00 CHF",sport
92,726041.0,2016-08-04,news,basel/726041,1762.0,1370.0,00:04:15,587.0,"78,53 %","47,62 %","0,00 CHF",basel
93,726664.0,2016-08-14,news,basel/726664,1706.0,1568.0,00:04:26,906.0,"83,77 %","65,12 %","0,00 CHF",basel
94,728187.0,2016-08-26,news,sport/728187,1694.0,1596.0,00:04:32,520.0,"83,27 %","63,34 %","0,00 CHF",sport
95,728222.0,2016-08-27,news,kultur/728222,1685.0,1601.0,00:02:54,1227.0,"89,49 %","77,03 %","0,00 CHF",kultur
96,727305.0,2016-08-17,news,international/727305,1668.0,1586.0,00:03:13,1234.0,"90,36 %","79,74 %","0,00 CHF",international
97,727303.0,2016-08-17,news,basel/727303,1648.0,1513.0,00:04:27,684.0,"79,24 %","59,41 %","0,00 CHF",basel
98,726645.0,2016-11-17,news,basel/726645,1646.0,1527.0,00:03:07,735.0,"74,83 %","57,59 %","0,00 CHF",basel
99,727386.0,2016-08-17,news,basel/727386,1613.0,1520.0,00:02:19,704.0,"87,93 %","58,03 %","0,00 CHF",basel
100,726069.0,2016-08-04,news,basel/726069,1598.0,1425.0,00:04:05,869.0,"84,93 %","66,15 %","0,00 CHF",basel
101,727835.0,2016-08-23,news,schweiz/727835,1597.0,1437.0,00:04:57,663.0,"82,05 %","61,87 %","0,00 CHF",schweiz
102,728212.0,2016-08-26,news,leben/728212,1569.0,1432.0,00:02:53,692.0,"79,34 %","58,25 %","0,00 CHF",leben
103,727528.0,2016-08-19,news,basel/727528,1568.0,1437.0,00:03:04,1179.0,"83,29 %","76,66 %","0,00 CHF",basel
104,725899.0,2016-07-31,news,sport/725899,1564.0,1469.0,00:04:40,367.0,"79,84 %","53,26 %","0,00 CHF",sport
105,726114.0,2016-08-05,news,basel/726114,1555.0,1477.0,00:02:21,685.0,"80,29 %","54,28 %","0,00 CHF",basel
106,728322.0,2016-08-28,news,sport/728322,1537.0,1449.0,00:03:55,271.0,"83,03 %","53,09 %","0,00 CHF",sport
107,728043.0,2016-08-24,news,international/728043,1533.0,1437.0,00:02:02,1072.0,"86,75 %","71,04 %","0,00 CHF",international
