,level1,count,pageviews,average
268,Kanton Solothurn,8,1365,170.625
269,Kanton Bern,8,2231,278.875
270,Mittelamerika,8,4036,504.5
271,Mirjam Ballmer,8,6385,798.125
272,Carlo Conti,8,409,51.125
273,Sekten,8,24991,3123.875
274,Murat Yakin,7,4547,649.5714285714286
275,Ueli Maurer,7,5684,812.0
276,Wochenthema Landwirtschaft,7,1130,161.42857142857142
277,Expo Milano,7,420,60.0
278,Partner: SBB Reisen,7,662,94.57142857142857
279,Ostern,7,2405,343.57142857142856
280,Apple,7,1513,216.14285714285714
281,Eurokrise,7,1665,237.85714285714286
282,Sabine Pegoraro,7,706,100.85714285714286
283,20 Minuten,7,17579,2511.285714285714
284,Swisscom,7,2075,296.42857142857144
285,Rudern,7,829,118.42857142857143
286,Triathlon,7,2887,412.42857142857144
287,FC Porto,7,281,40.142857142857146
288,TagesWoche FAQ,7,3838,548.2857142857143
289,Cyberkriminalität,7,2203,314.7142857142857
290,Tippspiel,7,15938,2276.8571428571427
291,Credit Suisse,7,657,93.85714285714286
292,Kanton Jura,7,1275,182.14285714285714
293,Entlastungspaket BS 2015-17,7,413,59.0
294,Herzog & de Meuron,6,1282,213.66666666666666
295,Sport Film,6,1608,268.0
296,Watson,6,20482,3413.6666666666665
297,Wahnsinn Alltag,6,10824,1804.0
298,Monsterwoche,6,1220,203.33333333333334
299,Kanton Genf,6,766,127.66666666666667
300,Doris Leuthard,6,1695,282.5
301,Kultur Brasiliens,6,1605,267.5
302,Biografie Film,6,1481,246.83333333333334
303,Vania Alleva,6,446,74.33333333333333
304,Animation Film,6,2048,341.3333333333333
305,Nestlé,6,5742,957.0
306,Golf,6,293,48.833333333333336
307,Radio Basilisk,6,2028,338.0
308,Eric Nussbaumer,6,281,46.833333333333336
309,Quartierporträt,6,6737,1122.8333333333333
310,Sterbehilfe,6,1435,239.16666666666666
311,Wochenthema Erbschaftssteuer,5,481,96.2
312,Blick,5,720,144.0
313,Küche: Italienisch,5,4997,999.4
314,Maschinenindustrie,5,944,188.8
315,Markus Somm,5,35522,7104.4
316,Wochenthema Scientology,5,7841,1568.2
