,topic_id,level0,level1,level2,level3,title
412,796,Jurafrage,,,,Jurafrage
413,797,_Länder,Europa,Lettland,,Lettland
414,798,Politik,Abstimmungen & Wahlen,Abstimmungen vom 24. November,,Abstimmungen vom 24. November
415,800,Sport,Olympische Spiele,,,Olympische Spiele
416,801,Sport,Olympische Spiele,Olympische Winterspiele 2014,,Olympische Winterspiele 2014
417,802,Medien,WOZ,,,WOZ
418,803,_Quartiere,Breite,,,Breite
419,804,_Quartiere,Breite,Autobahn,,Autobahn
420,805,_Quartiere,Breite,Autobahn,Schwarzwaldbrücke,Schwarzwaldbrücke
421,806,_Textformen & feste Rubriken,Jahresrückblick 2013,,,Jahresrückblick 2013
422,807,_Textformen & feste Rubriken,Hazel Unchained,,,Hazel Unchained
423,808,Gesellschaft,Generation Slash,,,Generation Slash
424,809,Politik,Abstimmungen & Wahlen,Einwanderungsinitiativen,,Einwanderungsinitiativen
425,810,_Zeitgeschichte,Honoraraffäre,,,Honoraraffäre
426,812,Lokales,Fasnacht,Basler Fasnacht 2014,,Basler Fasnacht 2014
427,813,Politik,Abstimmungen & Wahlen,Abstimmungen vom 9. Februar 2014,,Abstimmungen vom 9. Februar 2014
428,814,Politik,Abstimmungen & Wahlen,Abstimmungs-Spickzettel,,Abstimmungs-Spickzettel
429,815,Wissenschaft,Gender Studies,,,Gender Studies
430,816,_Textformen & feste Rubriken,Debatte,,,Debatte
431,824,Christoph Merian Stiftung,,,,Christoph Merian Stiftung
432,825,Baudepartement,,,,Baudepartement
433,828,Streik,,,,Streik
434,842,Sprache,,,,Sprache
435,843,Linke,,,,Linke
436,844,Frieden,,,,Frieden
437,845,Esskultur,,,,Esskultur
438,848,Forschung,,,,Forschung
439,853,Abstimmungen vom 18. Mai 2014,,,,Abstimmungen vom 18. Mai 2014
440,856,Zehn Jahre EU-Osterweiterung,,,,Zehn Jahre EU-Osterweiterung
441,859,Mindestlohninitiative,,,,Mindestlohninitiative
442,865,Partner,,,,Partner
443,866,Partner,Partner: SBB Reisen,,,Partner: SBB Reisen
444,867,_Textformen & feste Rubriken,Monsterwoche,,,Monsterwoche
445,868,_Personen,Paulo Sousa,,,Paulo Sousa
446,869,Kultur,Kultur Brasiliens,,,Kultur Brasiliens
447,870,_Zeitgeschichte,Wagenplatz,,,Wagenplatz
448,874,_Textformen & feste Rubriken,100 Jahre 1. Weltkrieg,,,100 Jahre 1. Weltkrieg
449,876,Kultur,Kunst,Kunst am Wegrand,,Kunst am Wegrand
450,879,Sport,Segeln,,,Segeln
451,881,Sport,Fussball,FC Basel,FCB im Spiegel der Weltliteratur,FCB im Spiegel der Weltliteratur
452,882,Partner: SBB Abenteuer,,,,Partner: SBB Abenteuer
453,883,Gesellschaft,Rassismus,Basel zeigt Haltung,,Basel zeigt Haltung
454,886,_Quartiere,Dreispitz,,,Dreispitz
455,888,Sport,Tennis,Swiss Indoors,,Swiss Indoors
456,889,Andi Gross,,,,Andi Gross
457,890,Gregor Gysi,,,,Gregor Gysi
458,892,Politik,Internationale Organisationen,OSZE,,OSZE
459,893,Politik,Internationale Organisationen,OSZE,OSZE-Kongress in Basel,OSZE-Kongress in Basel
460,895,Politik,Abstimmungen & Wahlen,Abstimmungen 30. November,,Abstimmungen 30. November
461,896,Politik,Abstimmungen & Wahlen,Abstimmungen 30. November,Integrationsinitiative,Integrationsinitiative
462,897,Politik,Abstimmungen & Wahlen,Abstimmungen 30. November,Ecopop,Ecopop
463,901,Sport,Tennis,Davis Cup,,Davis Cup
464,902,_Personen,Vania Alleva,,,Vania Alleva
465,905,Region,Pratteln,,,Pratteln
466,906,_Zeitgeschichte,Expo Milano,,,Expo Milano
467,907,_Firmen,Syngenta,,,Syngenta
468,908,Partner,Unabhängig mobil: Catch a car,,,Unabhängig mobil: Catch a car
469,909,Kultur,Kulturjahr,,,Kulturjahr
470,910,Politik,Abstimmungen & Wahlen,Wahlen BL 2015,,Wahlen BL 2015
471,911,_Feiertage,Silvester,Ausblick 2015,,Ausblick 2015
472,912,_Länder,Europa,Slowakei,,Slowakei
473,913,_Länder,Europa,Litauen,,Litauen
474,914,Sport,Pferdesport,CSI Basel,,CSI Basel
475,915,Sport,Fussball,Fifa,,Fifa
476,916,Kultur,Museen,Museumsnacht,,Museumsnacht
477,918,Wirtschaft,Finanzwirtschaft,Euro-Mindestkurs,,Euro-Mindestkurs
478,919,_Zeitgeschichte,Nationalsozialismus,,,Nationalsozialismus
479,920,Lokales,Fasnacht,Basler Fasnacht 2015,,Basler Fasnacht 2015
480,921,Wochenthema,,,,Wochenthema
481,923,Lokales,Stadtentwicklung,Wochenthema Hochhäuser,,Wochenthema Hochhäuser
482,924,Lifestyle,Ernährung,Rezept,,Rezept
483,925,Wochenthema,Wochenthema Feminismus,,,Wochenthema Feminismus
484,926,Lokales,Entlastungspaket BS 2015-17,,,Entlastungspaket BS 2015-17
485,927,Sport,FC Porto,,,FC Porto
486,928,Politik,Abstimmungen & Wahlen,Abstimmungen 8. März 2015,,Abstimmungen 8. März 2015
487,929,Politik,Abstimmungen & Wahlen,Abstimmungen 8. März 2015,Energiesteuer-Initiative,Energiesteuer-Initiative
488,934,Wochenthema,Wochenthema Clubszene,,,Wochenthema Clubszene
489,935,Wochenthema,Wochenthema Landwirtschaft,,,Wochenthema Landwirtschaft
490,937,Wochenthema,Wochenthema Frankenstärke,,,Wochenthema Frankenstärke
491,938,Wochenthema,Wochenthema Mitwirkung,,,Wochenthema Mitwirkung
492,940,Wochenthema,Wochenthema Scientology,,,Wochenthema Scientology
493,941,Wochenthema Filmszene Basel,,,,Wochenthema Filmszene Basel
494,942,Wochenthema,Wochenthema Verkehrskonzept,,,Wochenthema Verkehrskonzept
495,943,Kultur,Kulturgeschichte,,,Kulturgeschichte
496,944,Wochenthema,Wochenthema Fortpflanzungsmedizin,,,Wochenthema Fortpflanzungsmedizin
497,945,_Länder,Europa,Kasachstan,,Kasachstan
498,946,_Zeitgeschichte,40 Jahre Vietnamkrieg,,,40 Jahre Vietnamkrieg
499,947,_Länder,Asien,Vietnam,,Vietnam
500,948,Wochenthema,Wochenthema Erbschaftssteuer,,,Wochenthema Erbschaftssteuer
501,949,_Länder,Asien,Nepal,,Nepal
502,950,Politik,Abstimmungen & Wahlen,Abstimmungen vom 14. Juni 2015,,Abstimmungen vom 14. Juni 2015
503,951,Politik,Abstimmungen & Wahlen,Abstimmungen vom 14. Juni 2015,Erbschaftssteuer,Erbschaftssteuer
504,952,Politik,Abstimmungen & Wahlen,Eidgenössische Wahlen 2015,,Eidgenössische Wahlen 2015
505,954,Lifestyle,Ernährung,Essen fürs Auge,,Essen fürs Auge
506,955,_Länder,Naher Osten,Saudi Arabien,,Saudi Arabien
507,958,Politik,Finanzpolitik,Finanzen BL,,Finanzen BL
508,961,Internet,,,,Internet
509,965,Service public,,,,Service public
510,966,Loprieno,,,,Loprieno
511,969,_Länder,Europa,Rumänien,,Rumänien
512,971,Mexiko,,,,Mexiko
513,972,Sport,Klettern,,,Klettern
514,979,_Länder,Südamerika,Chile,,Chile
515,980,Sport,EHC Basel,,,EHC Basel
516,981,Zwischennutzung,Werkraum Schlotterbeck,,,Werkraum Schlotterbeck
517,982,_Länder,Europa,Belarus,Weissrussland,Belarus / Weissrussland
518,983,Partner,Partner: Buy-Local,,,Partner: Buy-Local
519,984,_Länder,Afrika,Elfenbeinküste,,Elfenbeinküste
520,985,Politik,_Organe,Bundesverwaltung,,Bundesverwaltung
521,990,Politik,Abstimmungen & Wahlen,Bundesratswahlen 2015,,Bundesratswahlen 2015
522,993,_Zeitgeschichte,#ParisAttacks,,,#ParisAttacks
523,994,_Länder,Afrika,Burkina Faso,,Burkina Faso
524,995,_Länder,Europa,Zypern,,Zypern
525,996,_Zeitgeschichte,20 Jahre Dayton-Abkommen,,,20 Jahre Dayton-Abkommen
526,1009,Sport,Unihockey,,,Unihockey
527,1011,Muba,,,,Muba
528,1013,Buvette,,,,Buvette
529,1014,Parkplätze,,,,Parkplätze
530,1017,Ozeanium,,,,Ozeanium
531,1018,Sport,Olympische Spiele,Olympische Spiele 2016,,Olympische Spiele 2016
532,1019,Region heute,,,,Region heute
533,1020,_Zeitgeschichte,Überzeit-Analyse,,,Überzeit-Analyse
534,1021,_Zeitgeschichte,50 Jahre Frauenstimmrecht,,,50 Jahre Frauenstimmrecht
535,1024,Kultur,Zirkus,,,Zirkus
536,1030,jazz,,,,jazz
537,1031,Altersheim,,,,Altersheim
538,1032,Sport,Schwingen,,,Schwingen
539,1035,Sport,Turnen,,,Turnen
540,1038,Sport,Fussball,Uefa,,Uefa
541,1045,Montenegro,,,,Montenegro
542,1047,Medien,Fernsehen,Serien,,Serien
543,1049,_Personen,Donald Trump,,,Donald Trump
544,1050,_Länder,Südamerika,Kolumbien,,Kolumbien
545,1051,Lifehack,,,,Lifehack
546,1055,Geschichte,,,,Geschichte
