Seite,Seitenaufrufe,Einzelne Seitenaufrufe,Durchschn Besuchszeit auf Seite,Einstiege,Absprungrate,% Ausstiege,Seitenwert
/de/2016_35/basel/728097,8788,8201,00:04:48,6898,"89,27 %","80,68 %","0,00 CHF"
/de/2016_27/sport/723333,8773,8278,00:04:48,6075,"91,44 %","80,37 %","0,00 CHF"
/de/2016_5/basel/,8770,6201,00:01:08,862,"33,41 %","25,86 %","0,00 CHF"
/de/2016_8/basel/711722,8754,8177,00:02:32,6655,"87,80 %","75,73 %","0,00 CHF"
/de/2016_9/sport/,8614,6026,00:01:00,794,"33,88 %","24,65 %","0,00 CHF"
/de/2016_37/basel/,8574,6151,00:01:12,1084,"25,18 %","24,75 %","0,00 CHF"
/de/2014_31/basel/665288,8543,7515,00:05:27,7174,"85,70 %","83,09 %","0,00 CHF"
/de/2016_16/basel/,8530,6123,00:01:10,521,"33,40 %","24,29 %","0,00 CHF"
/de/2016_4/basel/,8518,6036,00:01:23,764,"46,07 %","26,84 %","0,00 CHF"
/de/2016_42/international/732242,8516,7975,00:03:26,6806,"89,10 %","79,92 %","0,00 CHF"
/de/2016_26/basel/722601,8495,7875,00:04:42,6630,"88,91 %","80,54 %","0,00 CHF"
/de/2016_5/sport/,8482,6641,00:01:34,1743,"48,59 %","40,73 %","0,00 CHF"
/de/2016_23/basel/,8433,5946,00:01:07,590,"27,12 %","23,76 %","0,00 CHF"
/de/2016_27/basel/723564,8423,8000,00:02:41,6712,"89,15 %","79,96 %","0,00 CHF"
/de/2016_22/basel/,8369,5909,00:01:10,886,"24,60 %","23,67 %","0,00 CHF"
/de/2016_47/basel/,8369,5954,00:01:03,698,"28,94 %","23,84 %","0,00 CHF"
/de/2016_51/schweiz/737372,8357,7855,00:04:06,7494,"91,30 %","87,89 %","0,00 CHF"
/de/2016_28/sport/,8338,6088,00:01:10,1470,"32,93 %","32,83 %","0,00 CHF"
/de/2016_19/basel/718291,8301,7656,00:03:37,6196,"89,17 %","77,81 %","0,00 CHF"
/de/2016_42/schweiz/732366,8252,7447,00:04:57,5741,"87,55 %","76,93 %","0,00 CHF"
/de/2016_27/basel/,8240,5934,00:01:10,588,"39,29 %","23,92 %","0,00 CHF"
/de/2016_36/basel/,8239,6017,00:01:14,741,"32,25 %","25,03 %","0,00 CHF"
/de/2016_24/basel/,8232,5658,00:01:02,513,"38,40 %","22,46 %","0,00 CHF"
/de/2016_12/basel/,8184,5790,00:00:59,434,"33,41 %","23,31 %","0,00 CHF"
/wochenausgabe,8184,6309,00:01:17,580,"65,69 %","31,95 %","0,00 CHF"
/de/2016_18/sport/718133,8165,7692,00:03:28,5120,"88,32 %","70,21 %","0,00 CHF"
