,topic_id,count,pageviews,average,level0,level1,level2,level3,title
169,212,46,6786,147.52173913043478,Sport,Eishockey,,,Eishockey
170,604,46,54043,1174.8478260869565,_Textformen & feste Rubriken,Auch das noch,,,Auch das noch
171,903,46,22731,494.1521739130435,Kultur,Kunst,Künstlerporträts,,Künstlerporträts
172,967,45,38636,858.5777777777778,Universität,,,,Universität
173,840,45,20258,450.1777777777778,Krieg,,,,Krieg
174,358,44,43153,980.75,Medien,Basler Zeitung,,,Basler Zeitung
175,147,44,21038,478.1363636363636,_Firmen,Novartis,,,Novartis
176,645,43,12829,298.3488372093023,Gewerbe,,,,Gewerbe
177,449,43,27263,634.0232558139535,Umwelt & Natur,Klimawandel,,,Klimawandel
178,528,43,11267,262.0232558139535,Umwelt & Natur,Abfall,,,Abfall
179,643,42,11686,278.23809523809524,Kultur,Galerien,,,Galerien
180,1000,42,140261,3339.5476190476193,Lokales,Fasnacht,Fasnacht Basler 2016,,Fasnacht Basler 2016
181,201,42,38815,924.1666666666666,Gesellschaft,Drogen,,,Drogen
182,606,42,3376,80.38095238095238,_Textformen & feste Rubriken,Gefordert,,,Gefordert
183,329,42,8075,192.26190476190476,Politik,_Organe,Ständerat,,Ständerat
184,243,42,10516,250.38095238095238,_Länder,Europa,Bosnien-Herzegowina,,Bosnien-Herzegowina
185,472,41,18795,458.4146341463415,Wetter,,,,Wetter
186,220,41,25510,622.1951219512196,Sport,Boxen,,,Boxen
187,1042,41,82362,2008.8292682926829,Politik,Abstimmungen & Wahlen,Wahlen BS 2016,Wahlumfrage,Wahlumfrage
188,245,41,20739,505.8292682926829,_Länder,Europa,Serbien,,Serbien
189,877,41,23537,574.0731707317074,Lokales,Universitätsspital Basel,,,Universitätsspital Basel
190,284,40,40226,1005.65,Sport,Fussball,FC Sion,,FC Sion
191,180,40,29686,742.15,Politik,_Parteien,FDP,,FDP
192,421,40,7404,185.1,Sport,Leichtathletik,,,Leichtathletik
193,847,40,28917,722.925,Sicherheit,,,,Sicherheit
194,900,39,20122,515.9487179487179,Lokales,Stadtentwicklung,Hafenareal,,Hafenareal
195,308,39,18129,464.84615384615387,_Länder,Naher Osten,Ägypten,,Ägypten
196,321,39,5575,142.94871794871796,_Länder,Europa,Ukraine,,Ukraine
197,656,39,7335,188.07692307692307,Sport,Fussball,WM 2014,,WM 2014
198,917,39,22066,565.7948717948718,Politik,Abstimmungen & Wahlen,Abstimmungen vom 9. Februar 2014,Masseneinwanderungsinitiative,Masseneinwanderungsinitiative
