,url,share_count
114,http://www.tageswoche.ch/de/2016_24/basel/721614/der-rote-baeren-bringt-eine-neue-lust-in-die-ochsengasse.htm,173
115,http://www.tageswoche.ch/de/2016_24/international/721617/wer-aus-aegypten-flieht-ist-in-der-regel-ein-kind.htm,3
116,http://www.tageswoche.ch/de/2016_24/basel/721624/vom-kapitaen-bis-zur-gartenbeizerin-wie-sehr-laesst-der-regen-die-region-leiden.htm,12
117,http://www.tageswoche.ch/de/2016_24/schweiz/721625/der-mensch-ist-mitverantwortlich-fuer-den-regen-klima-experte-reto-knutti-klaert-auf.htm,68
118,http://www.tageswoche.ch/de/2016_24/sport/721629/fabian-schaer-ein-aus-in-der-vorrunde-waere-eine-enttaeuschung.htm,6
119,http://www.tageswoche.ch/de/2016_24/international/721631/auf-der-bruecke-von-varvarin-17-jahre-nach-dem-nato-bombardement.htm,0
120,http://www.tageswoche.ch/de/2016_24/kultur/721636/happy-birthday-colab-die-streetart-galerie-feiert-ihr-zehnjaehriges-bestehen.htm,0
121,http://www.tageswoche.ch/de/2016_24/basel/721644/das-erste-eigentor-der-em-ist-bereits-gefallen-geschossen-hats-der-hauseigentuemer-verband.htm,32
122,http://www.tageswoche.ch/de/2016_24/sport/721664/frankreich-wir-kommen.htm,3
123,http://www.tageswoche.ch/de/2016_24/basel/721684/die-art-steht-vor-der-tuer-aber-alle-reden-vom-wetter-und-ueber-fussball.htm,2
124,http://www.tageswoche.ch/de/2016_24/kultur/721694/acdc-in-bern-coldplay-in-zuerich-und-in-basel-eine-coverband-aus-loerrach-warum.htm,43
125,http://www.tageswoche.ch/de/2016_24/basel/721700/historisches-museum-keine-zusaetzlichen-steuergelder-beansprucht.htm,0
126,http://www.tageswoche.ch/de/2016_24/basel/721710/ein-traditionslokal-erwacht-wieder-das-waijeblaech-wird-zum-delfin.htm,41
127,http://www.tageswoche.ch/de/2016_26/kultur/721716/countdown-galerist-franz-maeder-sagt-adieu.htm,57
128,http://www.tageswoche.ch/de/2016_24/kultur/721719/verstaerkertuerme-als-bodyguards-dinosaur-jr-spielten-in-basel.htm,9
129,http://www.tageswoche.ch/de/2016_24/basel/721726/staatsangestellte-horten-fast-600-000-stunden-ueberzeit-basel-stadt-rechnet-mit-kosten-von-ueber-30-millionen.htm,19
130,http://www.tageswoche.ch/de/2016_24/basel/721728/kann-der-umbau-doch-noch-fruehzeitig-beginnen.htm,13
131,http://www.tageswoche.ch/de/2016_24/leben/721730/eine-wanderung-zu-den-bagni-di-craveggia.htm,11
132,http://www.tageswoche.ch/de/2016_24/kultur/721738/der-art-parcours-verbindet-bruecken.htm,35
133,http://www.tageswoche.ch/de/2016_24/kultur/721743/ein-letzter-blick-auf-die-kunstsammlung-bl-bevor-sie-auf-eis-gelegt-wird.htm,0
134,http://www.tageswoche.ch/de/2016_24/kultur/721792/galerie-freymond-guth-800-quadratmeter-ausstellungsraum-unter-der-riehenstrasse.htm,134
135,http://www.tageswoche.ch/de/2016_24/sport/721840/pedro-lenz-erst-seit-wir-die-secondos-haben-sind-wir-schweizer-ja-regelmaessig-an-endrunden-dabei.htm,44
136,http://www.tageswoche.ch/de/2016_24/sport/721841/granit-xhaka-uns-kann-niemand-etwas-vorwerfen.htm,4
137,http://www.tageswoche.ch/de/2016_25/leben/721890/excellente-killerapplikation-sofort-abschalten-bitte.htm,5
138,http://www.tageswoche.ch/de/2016_24/sport/721893/marcel-koller-versucht-die-nerven-der-oesterreicher-im-zaum-zu-halten.htm,2
139,http://www.tageswoche.ch/de/2016_25/basel/721908/karate-tigermuecken-dreckiges-geld-verschiffte-kunst.htm,2
140,http://www.tageswoche.ch/de/2016_25/international/721934/dank-dem-basler-hilfswerk-baas-koennen-fluechtlingskinder-auf-chios-wieder-zur-schule.htm,369
141,http://www.tageswoche.ch/de/2016_25/sport/721935/zahnaerzte-piloten-film-produzenten-die-islaender-steigen-ins-turnier-ein.htm,38
142,http://www.tageswoche.ch/de/2016_25/basel/721936/kennzeichen-bl-1-zum-dritten-mal-geklaut.htm,0
143,http://www.tageswoche.ch/de/2016_25/basel/721948/unternehmensberater-raet-dem-kanton-die-ueberzeit-auszuzahlen.htm,10
144,http://www.tageswoche.ch/de/2016_25/kultur/721952/war-der-regen-schuld-die-liste-war-noch-nie-so-voll.htm,16
145,http://www.tageswoche.ch/de/2016_25/basel/721953/in-der-einstigen-krawall-bar-wird-jetzt-terrorsamba-getanzt.htm,170
146,http://www.tageswoche.ch/de/2016_25/sport/721955/birkir-wie-heisst-dieser-vulkan-eyjafjallajoekull.htm,25
147,http://www.tageswoche.ch/de/2016_24/kultur/721956/brigham-baker-ausgezeichneter-ausschweifer.htm,68
148,http://www.tageswoche.ch/de/2016_25/basel/721964/lautsprecher-und-allmend-geht-gar-nicht.htm,81
149,http://www.tageswoche.ch/de/2016_25/basel/721976/ueberzeit-beim-kanton-die-meinungen-der-politiker-gehen-auseinander.htm,10
150,http://www.tageswoche.ch/de/2016_25/basel/722013/ein-ueberlaeufer-basler-buerokratiewahn-fremdes-blut.htm,3
151,http://www.tageswoche.ch/de/2016_24/kultur/722016/seltene-einblicke-und-ausblicke-im-video-vom-art-parcours.htm,1
152,http://www.tageswoche.ch/de/2016_25/kultur/722020/auf-dem-weg-zur-besserung.htm,0
153,http://www.tageswoche.ch/de/2016_25/kultur/722031/wolfgang-beltracchi-im-interview-wiederholung-lehne-ich-ab.htm,88
154,http://www.tageswoche.ch/de/2016_25/kultur/722036/stella-ich-meine-das-ernst-mit-ganz-viel-liebe.htm,30
155,http://www.tageswoche.ch/de/2016_25/basel/722046/art-basel-laesst-kriminellen-kunsthaendler-gewaehren.htm,29
156,http://www.tageswoche.ch/de/2016_25/sport/722050/der-unterschied-zu-1994-die-alte-generation-hatte-hagi-die-heutige-nicht.htm,0
157,http://www.tageswoche.ch/de/2016_25/basel/722055/adieu-tante-martha-basler-schauspielerin-trudi-roth-ist-gestorben.htm,196
158,http://www.tageswoche.ch/de/2016_25/sport/722064/monsieur-le-president-braucht-keine-angst-zu-haben-basler-und-ex-basler-an-der-em.htm,10
159,http://www.tageswoche.ch/de/2016_25/kultur/722068/citro-n-ds-eine-goettin-auf-vier-raedern.htm,150
160,http://www.tageswoche.ch/de/2016_25/basel/722109/ahmed-aboutaleb-lasst-euch-nicht-unterkriegen-muslime-seht-euch-als-fantastische-buerger-der-zukunft.htm,125
161,http://www.tageswoche.ch/de/2016_25/sport/722134/birkir-bjarnason-es-ist-ein-privileg-dieses-tor-geschossen-zu-haben.htm,64
162,http://www.tageswoche.ch/de/2016_25/basel/722136/ein-krimineller-kunsthaendler-ein-spitzengoalie-eine-entschuldigung.htm,1
163,http://www.tageswoche.ch/de/2016_25/basel/722138/hauseigentuemer-feiern-sieg-eigenmietwert-soll-sinken.htm,4
164,http://www.tageswoche.ch/de/2016_25/kultur/722141/du-sollst-mit-dem-essen-spielen.htm,45
165,http://www.tageswoche.ch/de/2016_25/basel/722145/ue-fuenfziger-protestieren-gegen-altersdiskriminierung.htm,78
166,http://www.tageswoche.ch/de/2016_25/sport/722146/kleine-mentalitaet-nichts-reissen-von-wegen.htm,2
167,http://www.tageswoche.ch/de/2016_25/basel/722148/bebbi-saecke-sollen-kuenftig-nur-noch-einmal-pro-woche-abgeholt-werden.htm,61
168,http://www.tageswoche.ch/de/2016_25/basel/722156/jungstoerche-ertrinken-in-ihren-nestern.htm,10
169,http://www.tageswoche.ch/de/2016_25/international/722165/ob-ihr-wirklich-richtig-steht-seht-ihr-wenn-das-licht-angeht.htm,0
170,http://www.tageswoche.ch/de/2016_25/basel/722171/so-hat-baschi-duerr-die-trendwende-bei-den-polizei-ueberstunden-herbeigezaubert.htm,46
171,http://www.tageswoche.ch/de/2016_25/basel/722180/buergerliche-lehnen-mehr-babyurlaub-ab.htm,68
172,http://www.tageswoche.ch/de/2016_25/sport/722184/fluechtlinge-kicken-auf-dem-barfi.htm,7
173,http://www.tageswoche.ch/de/2016_25/sport/722189/neuer-goalie-djordje-nikolic-19-unterschreibt-bis-2020.htm,4
174,http://www.tageswoche.ch/de/2016_25/basel/722193/auswertung-zeigt-basler-kesb-ist-massiv-ueberlastet.htm,66
175,http://www.tageswoche.ch/de/2016_25/basel/722208/basler-regierung-unterstuetzt-die-von-der-sp-verteufelte-vorlage.htm,5
176,http://www.tageswoche.ch/de/2016_25/sport/722220/das-glas-halbvoll-jetzt-will-petkovic-nachfuellen.htm,2
177,http://www.tageswoche.ch/de/2016_25/leben/722243/tropfende-zeilen-ein-offener-brief-an-petrus.htm,44
178,http://www.tageswoche.ch/de/2016_25/basel/722245/hochwasser-verdraengtes-sexmilieu-falsche-farbe-besorgte-eltern.htm,4
179,http://www.tageswoche.ch/de/2016_25/kultur/722251/black-sabbath-zelebrieren-ein-letztes-mal-die-finsternis.htm,23
180,http://www.tageswoche.ch/de/2016_25/sport/722256/omar-gaber-eine-entschuldigung-und-viele-neue-gesichter.htm,5
181,http://www.tageswoche.ch/de/2016_25/basel/722263/petrus-du-aff-wie-die-tiere-im-zoo-basel-dem-dauerregen-trotzen.htm,63
182,http://www.tageswoche.ch/de/2016_25/sport/722265/der-mehmedi-hat-seinen-job-gemacht.htm,7
183,http://www.tageswoche.ch/de/2016_25/basel/722267/kuerzungen-bei-der-kinderbetreuung-sorgen-fuer-rote-koepfe.htm,11
184,http://www.tageswoche.ch/de/2016_25/kultur/722270/blaettern-erlaubt-an-der-liste-basel-werden-kinderbuecher-zum-kunstwerk.htm,16
185,http://www.tageswoche.ch/de/2016_25/basel/722273/arrivederci-romeo-das-kleinbasel-vermisst-seinen-schuhmacher-schon-jetzt.htm,301
186,http://www.tageswoche.ch/de/2016_25/basel/722282/ein-erfolg-macht-noch-keine-trendwende-herr-duerr.htm,0
187,http://www.tageswoche.ch/de/2016_25/basel/722294/basel-stadt-moechte-die-hochschule-fuer-wirtschaft-vom-bahnhof-verdraengen.htm,4
188,http://www.tageswoche.ch/de/2016_25/basel/722302/die-direkte-demokratie-war-ein-mittel-um-das-stimmrecht-hinauszuzoegern.htm,225
189,http://www.tageswoche.ch/de/2016_25/basel/722303/vom-ami-snack-zur-hipster-delikatesse-der-burger-erobert-basel.htm,6
190,http://www.tageswoche.ch/de/2016_25/basel/722351/expo-2027-in-basel-news-zu-fessenheim-ein-seltsames-autorennen.htm,3
191,http://www.tageswoche.ch/de/2016_25/basel/722360/das-lautsprecherverbot-ist-ein-segen-oder-spinne-nur-ich-sagen-sie-s-mir.htm,22
