,article_id,published,type
0,725842.0,2016-07-30,news
0,723448.0,2016-07-01,news
0,725684.0,2016-07-28,news
0,725884.0,2016-07-31,newswire
0,725739.0,2016-07-30,news
0,723653.0,2016-07-01,newswire
0,725327.0,2016-07-23,newswire
0,725599.0,2016-07-27,news
0,724591.0,2016-07-14,news
0,713193.0,2016-03-03,news
0,722807.0,2016-06-23,news
0,723908.0,2016-07-08,news
0,725636.0,2016-07-27,newswire
0,723236.0,2016-07-04,news
0,683236.0,2015-03-18,news
0,469385.0,2012-10-10,news
0,556692.0,2013-07-02,news
0,688737.0,2015-05-26,news
0,724679.0,2016-07-15,news
0,725035.0,2016-07-25,news
0,724390.0,2016-07-11,newswire
0,725651.0,2016-07-28,news
0,725520.0,2016-07-26,news
0,723202.0,2016-07-04,news
0,723506.0,2016-07-01,news
0,724711.0,2016-07-19,news
0,723364.0,2016-07-02,news
0,720594.0,2016-06-02,news
0,725133.0,2016-07-23,news
0,723333.0,2016-06-28,news
0,723827.0,2016-07-05,news
0,724559.0,2016-07-13,news
0,723543.0,2016-07-01,news
0,435794.0,2012-07-09,news
0,725177.0,2016-07-21,news
0,725298.0,2016-07-22,newswire
0,724170.0,2016-07-08,news
0,723753.0,2016-07-04,news
0,723225.0,2016-06-30,news
0,442541.0,2012-07-26,news
0,725645.0,2016-07-27,newswire
0,725011.0,2016-07-19,news
0,725220.0,2016-07-27,news
0,665467.0,2014-08-09,news
0,717511.0,2016-04-23,news
0,725637.0,2016-07-28,news
0,723616.0,2016-07-02,newswire
0,723966.0,2016-07-13,news
0,531043.0,2013-04-10,news
0,723672.0,2016-07-02,newswire
0,715628.0,2016-04-03,news
0,725656.0,2016-07-27,news
0,673598.0,2014-11-18,news
0,723596.0,2016-07-01,news
0,724709.0,2016-07-21,news
0,724168.0,2016-07-08,newswire
0,725611.0,2016-07-27,news
0,724001.0,2016-07-06,news
0,723938.0,2016-07-08,news
0,724753.0,2016-07-15,news
0,653738.0,2014-03-27,news
0,723186.0,2016-06-27,news
0,435756.0,2012-07-13,news
0,724512.0,2016-07-14,news
0,700059.0,2015-10-02,news
0,723244.0,2016-06-30,news
0,723434.0,2016-06-30,news
0,723464.0,2016-06-30,news
0,713146.0,2016-03-07,news
0,725088.0,2016-07-20,newswire
0,724042.0,2016-07-07,news
0,724194.0,2016-07-08,news
0,690411.0,2015-06-13,news
0,724265.0,2016-07-08,news
0,415270.0,2012-04-14,news
0,724661.0,2016-07-14,news
0,725535.0,2016-07-26,newswire
0,725579.0,2016-07-26,newswire
0,692958.0,2015-07-09,news
0,724969.0,2016-07-18,news
0,724188.0,2016-07-08,newswire
0,724197.0,2016-07-08,news
0,725597.0,2016-07-28,news
0,721584.0,2016-07-03,news
0,724997.0,2016-07-19,news
0,723625.0,2016-07-01,news
0,681350.0,2015-02-24,news
0,725931.0,2016-07-31,news
0,723848.0,2016-07-05,news
0,557001.0,2013-07-03,news
0,723613.0,2016-07-01,news
0,725268.0,2016-07-22,newswire
0,725400.0,2016-07-24,news
0,724250.0,2016-07-09,news
0,724947.0,2016-07-18,news
0,725877.0,2016-07-30,newswire
0,714897.0,2016-03-22,news
0,669021.0,2014-09-28,news
0,724637.0,2016-07-16,news
0,659653.0,2014-05-28,news
0,725422.0,2016-07-24,newswire
0,723925.0,2016-07-05,newswire
0,724671.0,2016-07-20,news
0,723895.0,2016-07-05,news
0,723983.0,2016-07-06,news
0,694832.0,2015-08-07,news
0,723652.0,2016-07-10,news
0,725444.0,2016-07-27,news
0,410856.0,2012-03-30,news
0,724380.0,2016-07-11,newswire
0,721614.0,2016-06-09,news
0,723167.0,2016-06-27,news
0,725146.0,2016-07-20,newswire
0,587799.0,2013-10-07,news
0,721458.0,2016-06-20,news
0,723450.0,2016-06-30,news
0,724124.0,2016-07-07,newswire
0,724233.0,2016-07-08,newswire
0,723549.0,2016-06-30,newswire
0,725219.0,2016-07-26,news
0,697360.0,2015-08-31,news
0,724492.0,2016-07-12,news
0,723805.0,2016-07-04,news
0,725127.0,2016-07-20,news
0,724435.0,2016-07-11,news
0,611082.0,2013-11-28,news
0,725807.0,2016-07-29,newswire
0,721955.0,2016-06-21,news
0,724521.0,2016-07-12,newswire
0,725437.0,2016-07-25,news
0,724453.0,2016-07-11,newswire
0,723594.0,2016-07-01,news
0,724049.0,2016-07-06,newswire
0,725898.0,2016-07-31,news
0,723707.0,2016-07-02,newswire
0,724620.0,2016-07-17,news
0,704845.0,2015-11-30,news
0,725784.0,2016-07-29,news
0,723633.0,2016-07-02,news
0,685960.0,2015-04-21,news
